VARIABLE, PARCEL, DEPOT, VALUE,LON,LAT
X,1991,31,1168.48,-98.2698,28.7577
X,1996,44,1191,-98.2198,28.7577
X,1997,52,1191,-98.2098,28.7577
X,1998,36,1077.56,-98.1998,28.7577
X,2050,36,1051.56,-98.3298,28.7477
X,2051,31,1150.38,-98.3198,28.7477
X,2052,31,1071.66,-98.2998,28.7477
X,2053,36,1060.9,-98.2898,28.7477
X,2054,44,1147.82,-98.2798,28.7477
X,2055,52,1091.58,-98.2698,28.7477
X,2060,31,1135.88,-98.2198,28.7477
X,2064,52,1124.72,-98.1798,28.7477
X,2065,52,1124.72,-98.1698,28.7477
X,2066,52,1205.12,-98.1598,28.7477
X,2208,44,955.64,-98.4398,28.7177
X,2209,52,1096.04,-98.4298,28.7177
X,2210,31,955.64,-98.4198,28.7177
X,2211,31,955.64,-98.4098,28.7177
X,2212,36,955.64,-98.3998,28.7177
X,2214,36,1030.78,-98.3798,28.7177
X,2215,31,1084.24,-98.3698,28.7177
X,2217,44,1025.7,-98.3498,28.7177
X,2218,36,1092.82,-98.3298,28.7177
X,2278,36,864.14,-98.2798,28.7077
X,2280,52,1025.1,-98.2598,28.7077
X,2281,52,1074.86,-98.2498,28.7077
X,2282,31,1205.16,-98.2398,28.7077
X,2283,44,897.36,-98.2298,28.7077
X,2284,31,1097.98,-98.2198,28.7077
X,2287,31,877.74,-98.7898,28.6977
X,2348,31,885.62,-98.7098,28.6877
X,2349,52,885.62,-98.6998,28.6877
X,2350,52,885.62,-98.6898,28.6877
X,2351,44,908.8,-98.6798,28.6877
X,2352,31,976.02,-98.6698,28.6877
X,2425,44,1042.16,-98.4598,28.6777
X,2426,36,1097.3,-98.4498,28.6777
X,2427,31,1002,-98.4398,28.6777
X,2488,44,1149.18,-98.3398,28.6677
X,2491,44,1098.12,-98.2998,28.6677
X,2493,44,1050.58,-98.2798,28.6677
X,2494,31,864.06,-98.2698,28.6677
X,2496,52,881.94,-98.7898,28.6577
X,2497,36,881.94,-98.7798,28.6577
X,2498,31,881.94,-98.7698,28.6577
X,2499,31,1015.9,-98.7398,28.6577
X,2502,52,908.64,-98.7098,28.6577
X,2503,36,966.06,-98.6998,28.6577
X,2504,36,908.64,-98.6898,28.6577
X,2505,31,959.04,-98.6698,28.6577
X,2557,36,1197.82,-98.1701,29.3974
X,2558,36,1181.52,-98.1501,29.3974
X,2559,31,812.7,-98.1401,29.3974
X,2560,31,1287.02,-98.1301,29.3974
X,2561,36,1118.82,-98.1701,29.3874
X,2562,52,1095.02,-98.1601,29.3874
X,2563,31,1118.82,-98.1501,29.3874
X,2565,52,1158.44,-98.1801,29.3774
X,2566,36,1163.06,-98.1601,29.3774
X,2567,31,1118.8,-98.1501,29.3774
X,2570,52,1198.42,-98.0801,29.3774
X,2571,44,1178.8,-98.0701,29.3774
X,2572,36,1142.34,-98.0601,29.3774
X,2573,36,1200.46,-98.0501,29.3774
X,2574,31,1200.46,-98.0401,29.3774
X,2576,36,1380.82,-98.0101,29.3774
X,2628,44,1155.96,-98.2201,29.3374
X,2629,52,1252.54,-98.2001,29.3374
X,2630,52,1210.5,-98.1901,29.3374
X,2631,31,1175.64,-98.1801,29.3374
X,2632,52,1175.64,-98.1701,29.3374
X,2633,31,1107.76,-98.1601,29.3374
X,2634,52,1279.36,-98.1101,29.3374
X,2635,52,1199.18,-98.0901,29.3374
X,2636,36,1172.56,-98.0701,29.3374
X,2637,31,1288.62,-98.0101,29.3374
X,2640,52,1396.46,-97.9301,29.3374
X,2641,44,1215.42,-97.8901,29.3374
X,2642,36,1269.08,-97.8801,29.3374
X,2697,36,1353.96,-98.1801,29.3074
X,2698,36,1279.36,-98.1701,29.3074
X,2699,44,1279.36,-98.1501,29.3074
X,2700,44,1279.36,-98.1301,29.3074
X,2701,36,1279.36,-98.1101,29.3074
X,2702,44,1279.36,-98.0901,29.3074
X,2703,31,1199.14,-98.0801,29.3074
X,2704,52,1159.42,-98.0701,29.3074
X,2705,44,1304.18,-98.0601,29.3074
X,2706,31,1288.6,-98.0501,29.3074
X,2707,31,1288.6,-98.0401,29.3074
X,2708,52,1288.6,-98.0301,29.3074
X,2709,52,1288.6,-98.0201,29.3074
X,2710,44,1288.6,-98.0101,29.3074
X,2711,36,1366.88,-97.9801,29.3074
X,2712,36,1361.9,-97.9501,29.3074
X,2713,31,1250.32,-97.9401,29.3074
X,2715,36,1215.44,-97.9201,29.3074
