VARIABLE,INDEX,DEPOT,VALUE,YLT,XLN
X,1851,31,692.04,28.7777,-98.3598
X,1852,31,1097.4,28.7777,-98.3498
X,1853,31,1035.36,28.7777,-98.3398
X,1854,11,692.04,28.7777,-98.3298
X,1855,11,1080.5,28.7777,-98.3198
X,1856,3,1101.6,28.7777,-98.3098
X,1857,52,1113.44,28.7777,-98.2998
X,1858,36,1083.34,28.7777,-98.2898
X,1906,36,1098.02,28.7677,-98.4898
X,1908,31,1098.02,28.7677,-98.4698
X,1909,36,1098.02,28.7677,-98.4598
X,1910,31,948.86,28.7677,-98.4498
X,1911,36,1035.56,28.7677,-98.4398
X,1912,36,948.86,28.7677,-98.4298
X,1913,45,1036.58,28.7677,-98.4198
X,1914,45,1016.8,28.7677,-98.4098
X,1915,52,1098.02,28.7677,-98.3898
X,1917,3,1061.36,28.7677,-98.3698
X,1918,11,1090.64,28.7677,-98.3598
X,1921,31,1108.18,28.7677,-98.3298
X,1923,11,1087.26,28.7677,-98.3098
X,1924,11,1083.34,28.7677,-98.2998
X,1925,3,1113,28.7677,-98.2798
X,1926,3,1105.48,28.7677,-98.2698
X,1927,45,1168.48,28.7677,-98.2598
X,1928,45,1106.94,28.7677,-98.2498
X,1989,31,1112.96,28.7577,-98.2898
X,1990,31,1005.24,28.7577,-98.2798
X,1991,31,1168.48,28.7577,-98.2698
X,1993,3,1067.62,28.7577,-98.2498
X,1996,3,1191,28.7577,-98.2198
X,1997,45,1191,28.7577,-98.2098
X,1998,36,1077.56,28.7577,-98.1998
X,2049,36,1018.28,28.7477,-98.3398
X,2050,36,1051.56,28.7477,-98.3298
X,2051,31,1150.38,28.7477,-98.3198
X,2052,31,1071.66,28.7477,-98.2998
X,2053,36,1060.9,28.7477,-98.2898
X,2054,45,1147.82,28.7477,-98.2798
X,2060,31,1135.88,28.7477,-98.2198
X,2061,31,1124.72,28.7477,-98.2098
X,2063,11,1098.08,28.7477,-98.1898
X,2064,3,1124.72,28.7477,-98.1798
X,2065,52,1124.72,28.7477,-98.1698
X,2066,45,1205.12,28.7477,-98.1598
X,2150,36,955.64,28.7277,-98.4898
X,2151,31,1096.02,28.7277,-98.4798
X,2208,45,955.64,28.7177,-98.4398
X,2209,31,1096.04,28.7177,-98.4298
X,2210,31,955.64,28.7177,-98.4198
X,2211,31,955.64,28.7177,-98.4098
X,2212,36,955.64,28.7177,-98.3998
X,2214,36,1030.78,28.7177,-98.3798
X,2215,31,1084.24,28.7177,-98.3698
X,2217,45,1025.7,28.7177,-98.3498
X,2218,36,1092.82,28.7177,-98.3298
X,2219,36,1092.82,28.7177,-98.3198
X,2278,36,864.14,28.7077,-98.2798
X,2280,52,1025.1,28.7077,-98.2598
X,2281,52,1074.86,28.7077,-98.2498
X,2282,31,1205.16,28.7077,-98.2398
X,2283,45,897.36,28.7077,-98.2298
X,2284,31,1097.98,28.7077,-98.2198
X,2285,11,1124.64,28.7077,-98.2098
X,2286,45,877.74,28.6977,-98.7998
