VARIABLE, PARCEL, DEPOT, PLANT, VALUE,
X,3342,44,,1171.3400,
X,3343,36,,1171.3400,
X,3344,17,,0.0000,
X,3344,52,,1171.3400,
X,3345,36,,1173.5400,
X,3346,52,,1125.4200,
X,3398,36,,1125.4000,
X,3399,36,,1073.0200,
X,3400,31,,1073.0200,
X,3401,36,,1112.6000,
X,3402,36,,1095.5200,
X,3403,17,,0.0000,
X,3403,52,,1178.7800,
X,3404,44,,0.0000,
X,3404,52,,1193.9600,
X,3405,36,,1194.7800,
X,3406,31,,1150.0000,
X,3407,31,,1198.9000,
X,3408,17,,0.0000,
X,3408,31,,1238.0600,
X,3410,44,,0.0000,
X,3410,52,,1238.0600,
X,3411,36,,1238.0600,
X,3412,31,,1178.7800,
X,3414,44,,1140.4800,
X,3416,36,,1242.0800,
X,3424,31,,1180.7600,
X,3425,36,,1090.3000,
X,3426,52,,1090.3000,
X,3427,36,,1090.3000,
X,3429,44,,1175.5600,
X,3430,31,,1194.5400,
X,3432,44,,1162.3600,
X,3433,36,,1162.3600,
X,3435,52,,1187.8200,
X,3475,44,,1194.5200,
X,3476,36,,1194.5200,
X,3477,31,,1232.0000,
X,3480,52,,1180.7400,
X,3481,44,,1232.0000,
X,3482,31,,1215.2800,
X,3484,36,,1033.6000,
X,3485,17,,0.0000,
X,3486,36,,1092.3400,
X,3487,36,,1139.6200,
X,3494,52,,1122.0800,
X,3496,44,,1116.1400,
X,3499,36,,1106.0400,
X,3501,44,,0.0000,
X,3501,52,,1125.4000,
X,3502,36,,1123.2600,
X,3503,31,,1123.2600,
X,3506,36,,1235.0400,
X,3544,44,,1067.5000,
X,3545,36,,1106.0200,
X,3546,31,,1173.5400,
X,3547,36,,1156.5800,
X,3550,44,,1098.9200,
X,3551,36,,1116.2800,
X,3552,31,,1125.4000,
X,3553,17,,0.0000,
X,3553,52,,1125.4000,
X,3554,31,,1123.2600,
X,3555,17,,0.0000,
X,3555,52,,1125.4000,
X,3556,31,,1125.4000,
X,3557,31,,1210.0800,
X,3558,31,,0.0000,
X,3558,52,,1238.0400,
X,3559,44,,1235.0400,
X,3560,36,,1238.0400,
X,3570,52,,1157.7200,
X,3571,44,,1026.6800,
X,3572,31,,1120.0400,
X,3574,52,,1160.3200,
X,3575,36,,1131.8000,
X,3611,36,,1145.2200,
X,3613,52,,1181.1000,
X,3614,44,,1145.2200,
X,3615,36,,1163.4400,
X,3616,31,,1266.2200,
X,3617,31,,1175.7400,
X,3618,17,,0.0000,
X,3620,44,,1138.6800,
X,3621,44,,1211.7400,
X,3622,31,,1206.8400,
X,3623,44,,1206.8400,
X,3624,31,,1137.1000,
X,3625,44,,1080.9200,
X,3626,44,,0.0000,
X,3626,52,,1071.7800,
X,3627,17,,0.0000,
X,3627,52,,1086.5600,
X,3628,44,,1132.8000,
X,3629,31,,1014.0600,
X,3630,36,,1132.8000,
X,3686,36,,1059.0400,
X,3687,36,,1150.9600,
X,3689,52,,1124.7000,
X,3690,36,,1105.2200,
X,3691,31,,1020.8600,
X,3692,36,,1084.4800,
X,3693,44,,0.0000,
X,3693,52,,1084.4800,
X,3694,31,,1106.2600,
X,3695,44,,0.0000,
