index,RunID, LON, LAT,tag,Coord_ID,YIELD,land cover,county,Distance to Plant
160,280,-98.7998,29.1077,-98.7998.29.1077,280,11.3574,31,ATASCOSA,77.4102
161,281,-98.7898,29.1077,-98.7898.29.1077,281,11.3574,52,ATASCOSA,78.5307
162,285,-98.7498,29.1077,-98.7498.29.1077,285,11.72,52,ATASCOSA,71.744
163,289,-98.7098,29.1077,-98.7098.29.1077,289,11.1236,52,ATASCOSA,64.6338
164,290,-98.6998,29.1077,-98.6998.29.1077,290,11.1236,52,ATASCOSA,62.3201
165,291,-98.6898,29.1077,-98.6898.29.1077,291,11.438,81,ATASCOSA,62.0613
166,292,-98.6798,29.1077,-98.6798.29.1077,292,11.438,71,ATASCOSA,60.9886
167,293,-98.6698,29.1077,-98.6698.29.1077,293,11.438,81,ATASCOSA,63.7854
168,294,-98.6598,29.1077,-98.6598.29.1077,294,11.1236,52,ATASCOSA,63.4098
169,295,-98.6498,29.1077,-98.6498.29.1077,295,11.1236,81,ATASCOSA,63.6598
170,296,-98.6398,29.1077,-98.6398.29.1077,296,11.1236,52,ATASCOSA,55.6298
171,297,-98.6298,29.1077,-98.6298.29.1077,297,11.1236,81,ATASCOSA,55.3492
172,298,-98.6198,29.1077,-98.6198.29.1077,298,11.3166,82,ATASCOSA,56.6006
173,302,-98.5798,29.1077,-98.5798.29.1077,302,11.6726,82,ATASCOSA,54.2255
174,303,-98.5698,29.1077,-98.5698.29.1077,303,11.6726,52,ATASCOSA,53.731
175,304,-98.5598,29.1077,-98.5598.29.1077,304,11.3166,81,ATASCOSA,53.9507
176,305,-98.5498,29.1077,-98.5498.29.1077,305,11.3166,52,ATASCOSA,44.259
177,306,-98.5398,29.1077,-98.5398.29.1077,306,11.292,52,ATASCOSA,43.8035
178,307,-98.5298,29.1077,-98.5298.29.1077,307,11.292,52,ATASCOSA,42.6849
179,308,-98.5198,29.1077,-98.5198.29.1077,308,11.206,52,ATASCOSA,41.5166
180,309,-98.5098,29.1077,-98.5098.29.1077,309,11.3166,81,ATASCOSA,41.2779
181,310,-98.4998,29.1077,-98.4998.29.1077,310,10.9638,52,ATASCOSA,41.212
182,311,-98.4898,29.1077,-98.4898.29.1077,311,11.342,81,ATASCOSA,38.5365
183,312,-98.4798,29.1077,-98.4798.29.1077,312,11.5056,81,ATASCOSA,36.9169
184,313,-98.4698,29.1077,-98.4698.29.1077,313,10.9638,82,ATASCOSA,35.4516
185,314,-98.4598,29.1077,-98.4598.29.1077,314,11.329,81,ATASCOSA,34.3162
186,315,-98.4498,29.1077,-98.4498.29.1077,315,11.4164,81,ATASCOSA,33.057
187,316,-98.4398,29.1077,-98.4398.29.1077,316,11.4164,52,ATASCOSA,32.8617
188,317,-98.4298,29.1077,-98.4298.29.1077,317,11.4164,52,ATASCOSA,30.9916
189,318,-98.4198,29.1077,-98.4198.29.1077,318,10.9638,82,ATASCOSA,32.4165
190,319,-98.4098,29.1077,-98.4098.29.1077,319,11.0212,90,ATASCOSA,33.2197
191,321,-98.7898,29.0977,-98.7898.29.0977,321,11.3574,52,ATASCOSA,79.7546
192,322,-98.7798,29.0977,-98.7798.29.0977,322,11.3574,52,ATASCOSA,80.3104
193,324,-98.7598,29.0977,-98.7598.29.0977,324,11.0584,52,ATASCOSA,82.4202
194,325,-98.7498,29.0977,-98.7498.29.0977,325,11.7198,52,ATASCOSA,83.3952
195,326,-98.7398,29.0977,-98.7398.29.0977,326,11.5412,52,ATASCOSA,71.744
196,329,-98.7098,29.0977,-98.7098.29.0977,329,11.438,81,ATASCOSA,67.4007
197,330,-98.6998,29.0977,-98.6998.29.0977,330,11.1236,81,ATASCOSA,64.6338
198,332,-98.6798,29.0977,-98.6798.29.0977,332,11.1236,52,ATASCOSA,62.1747
