VARIABLE,DEPOT,PARCEL,VALUE,Coord_ID,YLT,XLON
X,0,1910,962.2,2204,28.7677,-98.4498
X,0,1911,1056.06,2205,28.7677,-98.4398
X,0,1912,962.2,2206,28.7677,-98.4298
X,0,1913,1056.8,2207,28.7677,-98.4198
X,0,1914,1040.82,2208,28.7677,-98.4098
X,0,1914,0,2208,28.7677,-98.4098
X,0,1915,1121.12,2210,28.7677,-98.3898
X,0,1917,1069.24,2212,28.7677,-98.3698
X,0,1918,1106.74,2213,28.7677,-98.3598
X,0,1921,1129.78,2216,28.7677,-98.3298
X,0,1922,1127.26,2217,28.7677,-98.3198
X,0,1923,1127.26,2218,28.7677,-98.3098
X,0,1924,1123.42,2219,28.7677,-98.2998
X,0,1925,1139.66,2221,28.7677,-98.2798
X,0,1926,1126.84,2222,28.7677,-98.2698
X,0,1926,0,2222,28.7677,-98.2698
X,0,1927,0,2223,28.7677,-98.2598
X,0,1927,0,2223,28.7677,-98.2598
X,0,1927,1197.38,2223,28.7677,-98.2598
X,0,1928,1152.58,2224,28.7677,-98.2498
X,0,1989,1139.66,2288,28.7577,-98.2898
X,0,1990,1039,2289,28.7577,-98.2798
X,0,1991,1197.34,2290,28.7577,-98.2698
X,0,1993,1122.02,2292,28.7577,-98.2498
X,0,1996,1250.16,2295,28.7577,-98.2198
X,0,1996,0,2295,28.7577,-98.2198
X,0,1997,1250.16,2296,28.7577,-98.2098
X,0,1997,0,2296,28.7577,-98.2098
X,0,1998,1108.94,2297,28.7577,-98.1998
X,0,2049,1041.78,2350,28.7477,-98.3398
X,0,2050,1068.74,2351,28.7477,-98.3298
X,0,2051,1168.24,2352,28.7477,-98.3198
X,0,2052,1098.8,2354,28.7477,-98.2998
X,0,2053,1088.58,2355,28.7477,-98.2898
X,0,2054,0,2356,28.7477,-98.2798
X,0,2054,1165.78,2356,28.7477,-98.2798
X,0,2060,1187.42,2362,28.7477,-98.2198
X,0,2061,1162.94,2363,28.7477,-98.2098
X,0,2063,1132.06,2365,28.7477,-98.1898
X,0,2064,1162.94,2366,28.7477,-98.1798
X,0,2065,1162.94,2367,28.7477,-98.1698
X,0,2066,0,2368,28.7477,-98.1598
X,0,2066,1259.5,2368,28.7477,-98.1598
X,0,2150,960.48,2464,28.7277,-98.4898
X,0,2151,1099.04,2465,28.7277,-98.4798
X,0,2208,0,2531,28.7177,-98.4398
X,0,2208,960.46,2531,28.7177,-98.4398
X,0,2209,1099.02,2532,28.7177,-98.4298
X,0,2210,960.46,2533,28.7177,-98.4198
X,0,2211,960.46,2534,28.7177,-98.4098
X,0,2212,960.46,2535,28.7177,-98.3998
X,0,2214,1036.3,2537,28.7177,-98.3798
X,0,2215,1106.12,2538,28.7177,-98.3698
X,0,2217,0,2540,28.7177,-98.3498
X,0,2217,1040.26,2540,28.7177,-98.3498
X,0,2218,1112.92,2542,28.7177,-98.3298
X,0,2219,1112.92,2543,28.7177,-98.3198
X,0,2278,874.4,2608,28.7077,-98.2798
X,0,2280,1034.62,2610,28.7077,-98.2598
X,0,2281,1134.42,2611,28.7077,-98.2498
X,0,2282,1259.4,2612,28.7077,-98.2398
X,0,2283,0,2613,28.7077,-98.2298
X,0,2283,934.32,2613,28.7077,-98.2298
X,0,2284,1131.72,2614,28.7077,-98.2198
X,0,2285,1162.88,2615,28.7077,-98.2098
X,0,2286,0,2616,28.6977,-98.7998
X,0,2286,870,2616,28.6977,-98.7998
