VARIABLE, PARCEL, DEPOT, PLANT, VALUE,
X,1362,44,,0.0000,
X,1362,45,,1109.0600,
X,1363,36,,1071.8800,
X,1364,31,,1071.8800,
X,1365,31,,647.4000,
X,1411,45,,1066.4200,
X,1412,36,,1039.0200,
X,1417,3,,1152.7200,
X,1419,43,,0.0000,
X,1419,44,,0.0000,
X,1419,45,,1152.7200,
X,1420,43,,0.0000,
X,1420,44,,0.0000,
X,1420,45,,1141.0000,
X,1421,44,,0.0000,
X,1422,52,,1109.0600,
X,1425,3,,743.2200,
X,1572,36,,953.3600,
X,1573,31,,1001.6200,
X,1577,3,,1121.1600,
X,1637,3,,1001.6000,
X,1638,11,,1008.5200,
X,1639,31,,953.3600,
X,1640,31,,1067.8200,
X,1641,36,,1121.1600,
X,1642,36,,1056.8200,
X,1643,31,,1051.2000,
X,1644,31,,1019.4400,
X,1646,11,,1070.5200,
X,1647,3,,1027.2800,
X,1648,45,,1027.2800,
X,1649,36,,1056.1400,
X,1676,31,,1152.6200,
X,1703,36,,0.0000,
X,1703,44,,0.0000,
X,1703,45,,953.3600,
X,1704,52,,1008.5200,
X,1704,56,,0.0000,
X,1706,3,,1052.0600,
X,1707,3,,1121.1200,
X,1708,11,,1019.4400,
X,1711,31,,1056.1000,
X,1712,31,,1077.5200,
X,1715,11,,965.7400,
X,1717,3,,1004.5400,
X,1718,45,,1127.3800,
X,1719,36,,1127.3800,
X,1771,36,,953.3600,
X,1773,44,,0.0000,
X,1773,45,,1008.5000,
X,1777,3,,1027.2000,
X,1781,31,,1038.1800,
X,1782,31,,1121.1000,
X,1784,11,,995.2800,
X,1786,3,,1127.3200,
X,1786,56,,0.0000,
X,1787,52,,1127.3200,
X,1788,44,,0.0000,
X,1836,36,,1066.7000,
X,1837,31,,1066.7000,
X,1840,31,,1068.1200,
X,1841,36,,965.7200,
X,1842,36,,1056.7800,
X,1843,36,,1056.7800,
X,1844,44,,0.0000,
X,1844,45,,1056.7800,
X,1844,52,,0.0000,
X,1845,52,,1056.7800,
X,1847,3,,1121.1600,
X,1848,11,,1045.8000,
X,1849,11,,1045.8000,
X,1850,31,,1127.3400,
X,1852,31,,1127.2200,
X,1855,11,,1114.6000,
X,1856,3,,1140.2400,
X,1857,52,,1149.5800,
X,1858,36,,1123.1800,
X,1906,36,,1121.1200,
X,1908,31,,1121.1200,
X,1909,36,,1121.1200,
X,1910,31,,962.2000,
X,1911,36,,1056.0600,
X,1912,36,,962.2000,
X,1913,36,,1056.8000,
X,1914,45,,1040.8200,
X,1914,50,,0.0000,
X,1915,52,,1121.1200,
X,1917,3,,1069.2400,
X,1918,11,,1106.7400,
X,1921,31,,1129.7800,
X,1922,36,,1127.2600,
X,1923,11,,1127.2600,
X,1924,11,,1123.4200,
X,1925,3,,1139.6600,
X,1926,3,,1126.8400,
X,1926,56,,0.0000,
X,1927,43,,0.0000,
X,1927,44,,0.0000,
X,1927,45,,1197.3800,
X,1928,45,,1152.5800,
X,1989,31,,1139.6600,
X,1990,31,,1039.0000,
X,1991,31,,1197.3400,
X,1993,3,,1122.0200,
X,1996,3,,1250.1600,
X,1996,56,,0.0000,
X,1997,45,,1250.1600,
X,1997,52,,0.0000,
X,1998,36,,1108.9400,
X,2049,36,,1041.7800,
X,2050,36,,1068.7400,
X,2051,31,,1168.2400,
X,2052,31,,1098.8000,
X,2053,36,,1088.5800,
X,2054,44,,0.0000,
X,2054,45,,1165.7800,
X,2060,31,,1187.4200,
X,2061,31,,1162.9400,
X,2063,11,,1132.0600,
X,2064,3,,1162.9400,
X,2065,52,,1162.9400,
X,2066,44,,0.0000,
X,2066,45,,1259.5000,
X,2150,36,,960.4800,
X,2151,31,,1099.0400,
X,2208,36,,0.0000,
X,2208,45,,960.4600,
X,2209,31,,1099.0200,
X,2210,31,,960.4600,
X,2211,31,,960.4600,
X,2212,36,,960.4600,
X,2214,36,,1036.3000,
X,2215,31,,1106.1200,
X,2217,44,,0.0000,
X,2217,45,,1040.2600,
X,2218,36,,1112.9200,
X,2219,36,,1112.9200,
X,2278,36,,874.4000,
X,2280,52,,1034.6200,
X,2281,52,,1134.4200,
X,2282,31,,1259.4000,
X,2283,44,,0.0000,
X,2283,45,,934.3200,
X,2284,31,,1131.7200,
X,2285,11,,1162.8800,
X,2286,3,,0.0000,
X,2286,45,,870.0000,
X,2287,31,,870.0000,
X,2288,36,,887.9600,
X,2348,31,,875.6000,
X,2349,52,,875.6000,
X,2350,52,,875.6000,
X,2351,44,,0.0000,
X,2351,45,,901.4200,
X,2351,46,,0.0000,
X,2352,31,,978.2400,
X,2425,3,,0.0000,
X,2425,44,,0.0000,
X,2425,45,,1051.1800,
X,2426,36,,1098.9400,
X,2427,31,,1006.4200,
X,2432,36,,997.7400,
X,2488,44,,0.0000,
X,2488,45,,1168.0600,
X,2489,3,,1097.8600,
X,2491,44,,0.0000,
X,2491,45,,1118.5400,
X,2493,3,,1068.5800,
X,2493,43,,0.0000,
X,2493,44,,0.0000,
X,2494,31,,874.3600,
X,2496,3,,878.8800,
X,2497,36,,878.8800,
X,2498,31,,878.8800,
X,2499,31,,1030.5400,
X,2500,11,,1030.5400,
X,2501,11,,1030.5400,
X,2502,3,,901.4800,
X,2503,36,,974.2800,
X,2504,36,,901.4800,
X,2505,31,,964.5200,
X,2557,45,,1221.3400,
X,2558,36,,1200.8600,
X,2559,31,,772.1200,
X,2560,31,,1294.2000,
X,2561,36,,1133.5600,
X,2563,31,,1133.5600,
X,2564,11,,1331.9000,
X,2565,52,,1178.4000,
X,2566,36,,1178.7600,
X,2567,31,,1133.6000,
X,2568,11,,1181.2000,
X,2570,3,,1223.3600,
X,2571,3,,0.0000,
X,2571,44,,0.0000,
X,2571,45,,1203.4000,
X,2572,36,,1167.2800,
X,2573,36,,1222.2200,
X,2574,31,,1222.2200,
X,2576,36,,1382.2000,
X,2627,36,,1247.8600,
X,2629,3,,1291.7800,
X,2629,50,,0.0000,
X,2630,31,,1249.5600,
X,2631,31,,1181.0800,
X,2632,45,,1181.0800,
X,2632,52,,0.0000,
X,2633,31,,1100.6800,
X,2634,11,,1298.9000,
X,2635,3,,1209.8800,
X,2636,36,,1184.0800,
X,2637,31,,1308.0400,
X,2638,11,,1258.0800,
X,2639,3,,1404.2600,
X,2640,3,,1404.2600,
X,2640,10,,0.0000,
X,2641,3,,1247.8400,
X,2642,36,,1290.0400,
X,2643,31,,1247.9400,
X,2697,36,,1382.6200,
X,2698,36,,1298.8800,
X,2699,43,,0.0000,
X,2699,44,,0.0000,
X,2699,45,,1298.8800,
X,2700,43,,0.0000,
X,2700,44,,0.0000,
X,2700,45,,1298.8800,
X,2701,36,,1298.8800,
X,2702,43,,0.0000,
X,2702,44,,0.0000,
X,2702,45,,1298.8800,
X,2703,31,,1209.7600,
X,2704,11,,1155.3000,
X,2705,44,,0.0000,
X,2705,45,,1299.6400,
X,2706,31,,1308.0200,
X,2707,31,,1308.0200,
X,2708,3,,1308.0200,
X,2709,3,,1308.0200,
X,2710,3,,1308.0200,
X,2711,36,,1368.5400,
X,2712,36,,1363.7400,
X,2713,31,,1258.0800,
X,2714,3,,1215.2200,
X,2715,36,,1247.7800,
X,2716,36,,1290.0400,
X,2717,36,,1247.7800,
X,2767,36,,1199.6600,
X,2768,31,,0.0000,
X,2768,44,,0.0000,
X,2768,45,,1308.0000,
X,2769,36,,0.0000,
X,2769,44,,0.0000,
X,2769,45,,1349.0800,
X,2770,36,,1207.8600,
X,2771,52,,1363.7400,
X,2772,36,,1258.0600,
X,2774,52,,1258.0600,
X,2775,36,,1258.0600,
X,2776,31,,1258.0600,
X,2777,11,,1290.0400,
X,2778,3,,1223.7400,
X,2779,3,,1378.8800,
X,2780,3,,0.0000,
X,2780,45,,1378.8800,
X,2781,36,,1378.8800,
X,2782,36,,1378.8800,
X,2784,11,,1241.4400,
X,2785,36,,1307.5400,
X,2787,44,,0.0000,
X,2787,45,,1382.6000,
X,2837,44,,0.0000,
X,2837,45,,1100.7000,
X,2838,36,,1188.7200,
X,2839,36,,1007.1400,
X,2840,36,,1155.3200,
X,2841,52,,1298.8600,
X,2842,36,,1298.8600,
X,2844,3,,1290.1400,
X,2845,36,,1220.0400,
X,2846,31,,1344.1600,
X,2847,3,,1215.1600,
X,2848,52,,1258.0400,
X,2849,3,,0.0000,
X,2849,44,,0.0000,
X,2849,45,,1208.2400,
X,2850,36,,1258.0400,
X,2854,52,,1258.0400,
X,2855,31,,1312.4800,
X,2908,31,,1382.6200,
X,2909,52,,1382.6200,
X,2910,31,,1382.6200,
X,2911,44,,0.0000,
X,2911,45,,1382.6200,
X,2911,52,,0.0000,
X,2912,31,,1382.6200,
X,2913,52,,1212.7400,
X,2914,36,,1212.7400,
X,2915,36,,1046.8400,
X,2916,11,,1046.8400,
X,2917,52,,1046.8400,
X,2918,45,,1037.5000,
X,2918,52,,0.0000,
X,2919,36,,1196.3200,
X,2935,44,,0.0000,
X,2935,45,,1222.0000,
X,2936,52,,1143.1800,
X,2937,36,,1222.0000,
X,2938,52,,1222.0000,
X,2939,36,,1298.4600,
X,2941,36,,1336.7400,
X,2941,44,,0.0000,
X,2981,44,,0.0000,
X,2984,43,,0.0000,
X,2984,44,,0.0000,
X,2984,45,,1222.0000,
X,2985,31,,1222.0000,
X,2987,52,,1222.0000,
X,2988,52,,1191.2000,
X,2989,43,,0.0000,
X,2989,44,,0.0000,
X,2989,45,,1336.7400,
X,2990,31,,1336.7400,
X,2991,31,,1358.2200,
X,2992,11,,1336.7400,
X,2994,36,,1197.8000,
X,3008,45,,1083.6000,
X,3051,36,,1366.2200,
X,3052,52,,1200.1400,
X,3053,43,,0.0000,
X,3053,44,,0.0000,
X,3053,45,,1224.2600,
X,3054,31,,1255.0000,
X,3056,52,,1046.7800,
X,3057,43,,0.0000,
X,3057,44,,0.0000,
X,3057,45,,1024.4800,
X,3058,44,,0.0000,
X,3058,45,,1046.7800,
X,3059,36,,1094.0600,
X,3060,31,,1086.1600,
X,3062,56,,0.0000,
X,3063,52,,1041.6400,
X,3064,31,,1103.1400,
X,3065,45,,1093.0000,
X,3066,31,,1193.4600,
X,3118,31,,1137.5200,
X,3120,44,,0.0000,
X,3120,45,,1166.3800,
X,3121,31,,1108.7600,
X,3122,3,,0.0000,
X,3122,44,,0.0000,
X,3122,45,,1068.0000,
X,3123,36,,1258.6600,
X,3124,31,,1221.9800,
X,3125,11,,1221.9800,
X,3126,3,,1246.6600,
X,3127,36,,0.0000,
X,3127,44,,0.0000,
X,3127,45,,1191.1600,
X,3128,36,,1205.7200,
X,3129,31,,1188.8600,
X,3130,31,,805.6600,
X,3131,11,,1179.9000,
