VARIABLE, PARCEL, DEPOT, VALUE,LON,LAT
X,2771,52,1363.74,-97.9401,29.2874
X,2772,36,1258.06,-97.9301,29.2874
X,2773,31,1215.16,-97.9201,29.2874
X,2774,52,1258.06,-97.9101,29.2874
X,2775,36,1258.06,-97.9001,29.2874
X,2776,31,1258.06,-97.8901,29.2874
X,2777,52,1290.04,-97.8801,29.2874
X,2778,3,1223.74,-97.8701,29.2874
X,2779,3,1378.88,-97.8601,29.2874
X,2780,3,1378.88,-97.8501,29.2874
X,2781,36,1378.88,-97.8401,29.2874
X,2782,31,1378.88,-97.8301,29.2874
X,2784,3,1241.44,-97.8101,29.2874
X,2785,3,1307.54,-97.8001,29.2874
X,2787,3,1382.6,-98.2001,29.2774
X,2838,36,1188.72,-98.0601,29.2674
X,2839,36,1007.14,-98.0401,29.2674
X,2840,36,1155.32,-98.0301,29.2674
X,2841,52,1298.86,-98.0201,29.2674
X,2842,36,1298.86,-98.0101,29.2674
X,2843,52,1233.94,-97.9901,29.2674
X,2844,3,1290.14,-97.9801,29.2674
X,2845,31,1220.04,-97.9701,29.2674
X,2846,31,1344.16,-97.9601,29.2674
X,2847,3,1215.16,-97.9501,29.2674
X,2848,52,1258.04,-97.9301,29.2674
X,2849,3,1208.24,-97.9201,29.2674
X,2850,36,1258.04,-97.9101,29.2674
X,2854,52,1258.04,-97.8701,29.2674
X,2855,31,1312.48,-97.8601,29.2674
X,2908,31,1382.62,-98.1801,29.2474
X,2909,52,1382.62,-98.1601,29.2474
X,2910,31,1382.62,-98.1501,29.2474
X,2911,52,1382.62,-98.1401,29.2474
X,2912,31,1382.62,-98.1201,29.2474
X,2913,52,1212.74,-98.1101,29.2474
X,2914,36,1212.74,-98.1001,29.2474
X,2915,36,1046.84,-98.0901,29.2474
X,2917,52,1046.84,-98.0701,29.2474
X,2918,52,1037.5,-98.0601,29.2474
X,2919,36,1196.32,-98.0501,29.2474
X,2936,52,1143.18,-97.8301,29.2474
X,2937,36,1222,-97.8201,29.2474
X,2938,52,1222,-97.8101,29.2474
X,2939,36,1298.46,-97.8001,29.2474
X,2985,31,1222,-97.8201,29.2374
X,2987,52,1222,-97.8001,29.2374
X,2988,52,1191.2,-97.7901,29.2374
X,2989,52,1336.74,-97.7801,29.2374
X,2990,31,1336.74,-97.7701,29.2374
X,2991,31,1358.22,-97.7601,29.2374
