var, orig, dest, value,
3,4316,45,1290.90,
3,4317,45,1290.90,
3,4318,45,1320.40,
3,4319,36,1290.90,
3,4320,36,1253.80,
3,4321,36,1350.90,
3,4324,7,1070.70,
3,4325,7,1290.90,
3,4326,36,1264.60,
3,4327,7,1290.90,
3,4328,36,1290.90,
3,4329,7,1256.10,
3,4348,7,1180.50,
3,4349,7,1180.50,
3,4350,7,1180.50,
3,4351,7,1180.50,
3,4352,7,1180.50,
3,4355,36,1050.80,
3,4356,36,1088.30,
3,4357,45,1180.60,
3,4358,45,1070.70,
3,4386,45,1290.90,
3,4387,36,1290.90,
3,4391,7,1256.20,
3,4392,45,1290.90,
3,4393,45,1290.90,
3,4394,36,1333.40,
3,4395,45,1290.90,
3,4401,45,1465.60,
3,4408,36,1180.50,
3,4409,45,1180.50,
3,4410,45,1180.50,
3,4411,36,1180.50,
3,4412,36,1465.60,
3,4428,36,991.90,
3,4429,36,1050.80,
3,4430,36,1044.60,
3,4432,45,1044.60,
3,4433,45,1458.80,
3,4437,7,1290.90,
3,4438,7,1253.80,
3,4483,45,1060.10,
3,4484,45,1088.20,
3,4485,36,1077.80,
3,4486,36,1050.80,
3,4487,7,1050.80,
3,4488,45,1262.10,
3,4489,45,1008.80,
3,4491,45,1073.10,
3,4492,7,1153.20,
3,4493,36,1073.90,
3,4558,45,1262.50,
3,4560,45,1290.00,
3,4562,45,1256.20,
3,4563,45,1290.90,
3,4564,36,1256.20,
3,4565,36,1256.20,
3,4566,7,1290.90,
3,4567,45,1253.80,
3,4568,45,1248.70,
3,4569,45,1050.80,
3,4570,36,1345.00,
3,4572,45,1290.90,
3,4573,7,1333.40,
3,4574,7,1256.20,
3,4646,7,1060.10,
3,4647,45,1040.40,
3,4648,36,1070.70,
3,4649,45,1040.40,
3,4650,36,1109.80,
3,4651,36,1153.30,
3,4652,36,1109.80,
3,4670,7,1180.50,
3,4671,7,1072.40,
3,4673,7,1072.40,
3,4674,7,1050.80,
3,4678,36,1401.00,
3,4679,45,1262.40,
3,4680,45,1290.90,
3,4682,7,1256.20,
3,4685,45,1256.20,
3,4733,36,1072.40,
3,4734,36,1060.10,
4,7,1,274185.90,
4,36,1,300000.00,
4,45,1,300000.00,
5,787,1,1099.00,
5,1512,1,1098.90,
5,1523,1,1061.20,
5,1534,1,1057.70,
5,1546,1,1061.20,
5,1944,1,1057.70,
5,1966,1,1055.90,
5,1977,1,1057.70,
5,2125,1,1057.70,
5,2126,1,1057.70,
5,2127,1,1036.10,
5,2128,1,1027.80,
5,2166,1,1057.70,
5,2168,1,1055.90,
5,2169,1,1018.80,
5,2170,1,1036.10,
5,2171,1,1036.10,
5,2172,1,1057.70,
5,2213,1,1012.20,
5,2214,1,1012.20,
5,2262,1,1073.60,
5,2307,1,1083.90,
5,2308,1,1061.20,
5,2885,1,1180.50,
5,2888,1,1039.90,
5,2889,1,1070.70,
5,2894,1,1144.40,
5,2895,1,1144.40,
5,2896,1,1144.40,
5,2898,1,1144.40,
5,2899,1,1144.40,
5,2900,1,1008.80,
5,2901,1,1024.80,
5,2902,1,1109.80,
5,2903,1,1067.20,
5,2904,1,1050.80,
5,2906,1,1144.40,
5,2945,1,1050.80,
5,2946,1,840.10,
5,2953,1,1133.70,
5,2954,1,1050.80,
5,2955,1,1144.40,
5,2956,1,1144.40,
5,2957,1,1144.40,
5,2958,1,1133.70,
5,2959,1,1070.60,
5,2960,1,1067.20,
5,2963,1,1067.20,
5,2965,1,1050.80,
5,3008,1,1144.40,
5,3009,1,1144.40,
5,3013,1,1031.70,
5,3015,1,1070.60,
5,3020,1,1050.80,
5,3021,1,1050.80,
5,3023,1,1067.10,
5,3024,1,1050.80,
5,3026,1,1070.60,
5,3046,1,1008.80,
5,3076,1,1070.60,
5,3080,1,1070.60,
5,3081,1,1073.90,
5,3427,1,1050.80,
5,3449,1,1088.40,
5,3459,1,1060.20,
5,3860,1,1060.20,
5,3871,1,1180.60,
5,3882,1,1050.80,
5,3884,1,1180.60,
5,3920,1,1050.80,
5,3921,1,1180.60,
5,3923,1,1180.60,
5,3924,1,1180.60,
5,3925,1,1180.60,
5,3926,1,1180.60,
5,3927,1,1180.60,
5,3928,1,1180.60,
5,3964,1,1180.50,
5,3966,1,1180.50,
5,3967,1,1180.50,
5,3968,1,1180.50,
5,3969,1,1180.50,
5,3970,1,1180.50,
5,3971,1,1180.50,
5,3972,1,1180.50,
5,3973,1,1180.50,
5,3974,1,1180.50,
5,3975,1,1180.50,
5,4013,1,1050.80,
5,4014,1,1180.50,
5,4015,1,1180.50,
5,4016,1,1180.50,
5,4017,1,1180.50,
5,4018,1,1180.50,
5,4019,1,1180.50,
5,4020,1,1180.50,
5,4022,1,1180.50,
5,4023,1,1180.50,
5,4025,1,1180.50,
5,4026,1,1180.50,
5,4061,1,1073.10,
5,4062,1,1180.50,
5,4063,1,1180.50,
5,4065,1,1180.50,
5,4066,1,1180.50,
5,4067,1,1180.50,
5,4068,1,1180.50,
5,4070,1,1180.50,
