VARIABLE, PARCEL, DEPOT, PLANT, VALUE
X,2558,36,,1200.86
X,2559,31,,772.12
X,2560,31,,1294.2
X,2561,36,,1133.56
X,2563,31,,1133.56
X,2564,11,,1331.9
X,2565,52,,1178.4
X,2566,36,,1178.76
X,2567,31,,1133.6
X,2568,11,,1181.2
X,2570,3,,1223.36
X,2571,3,,0
X,2571,44,,0
X,2571,45,,1203.4
X,2572,36,,1167.28
X,2573,36,,1222.22
X,2574,31,,1222.22
X,2576,36,,1382.2
X,2627,36,,1247.86
X,2629,3,,1291.78
X,2629,50,,0
X,2630,31,,1249.56
X,2631,31,,1181.08
X,2632,45,,1181.08
X,2632,52,,0
X,2633,31,,1100.68
X,2634,11,,1298.9
X,2635,3,,1209.88
X,2636,36,,1184.08
X,2637,31,,1308.04
X,2638,11,,1258.08
X,2639,3,,1404.26
X,2640,3,,1404.26
X,2640,10,,0
X,2641,3,,1247.84
X,2642,36,,1290.04
X,2643,31,,1247.94
X,2697,36,,1382.62
X,2698,36,,1298.88
X,2699,43,,0
X,2699,44,,0
X,2699,45,,1298.88
X,2700,43,,0
X,2700,44,,0
X,2700,45,,1298.88
X,2701,36,,1298.88
X,2702,43,,0
X,2702,44,,0
X,2702,45,,1298.88
X,2703,31,,1209.76
X,2704,11,,1155.3
X,2705,44,,0
X,2705,45,,1299.64
X,2706,31,,1308.02
X,2707,31,,1308.02
X,2708,3,,1308.02
X,2709,3,,1308.02
X,2710,3,,1308.02
X,2711,36,,1368.54
X,2712,36,,1363.74
X,2713,31,,1258.08
X,2714,3,,1215.22
X,2715,36,,1247.78
X,2716,36,,1290.04
X,2717,36,,1247.78
X,2767,36,,1199.66
X,2768,31,,0
X,2768,44,,0
X,2768,45,,1308
X,2769,36,,0
X,2769,44,,0
X,2769,45,,1349.08
X,2770,36,,1207.86
X,2771,52,,1363.74
X,2772,36,,1258.06
X,2774,52,,1258.06
X,2775,36,,1258.06
X,2776,31,,1258.06
X,2777,11,,1290.04
X,2778,3,,1223.74
X,2779,3,,1378.88
X,2780,3,,0
X,2780,45,,1378.88
X,2781,36,,1378.88
X,2782,36,,1378.88
X,2784,11,,1241.44
X,2785,36,,1307.54
X,2787,44,,0
X,2787,45,,1382.6
X,2837,44,,0
X,2837,45,,1100.7
X,2838,36,,1188.72
X,2839,36,,1007.14
X,2840,36,,1155.32
X,2841,52,,1298.86
X,2842,36,,1298.86
X,2844,3,,1290.14
X,2845,36,,1220.04
X,2846,31,,1344.16
X,2847,3,,1215.16
X,2848,52,,1258.04
X,2849,3,,0
X,2849,44,,0
X,2849,45,,1208.24
X,2850,36,,1258.04
X,2854,52,,1258.04
X,2855,31,,1312.48
X,2908,31,,1382.62
X,2909,52,,1382.62
X,2910,31,,1382.62
X,2911,44,,0
X,2911,45,,1382.62
X,2911,52,,0
X,2912,31,,1382.62
X,2913,52,,1212.74
X,2914,36,,1212.74
X,2915,36,,1046.84
X,2916,11,,1046.84
X,2917,52,,1046.84
X,2918,45,,1037.5
X,2918,52,,0
X,2919,36,,1196.32
X,2935,44,,0
X,2935,45,,1222
X,2936,52,,1143.18
X,2937,36,,1222
X,2938,52,,1222
X,2939,36,,1298.46
X,2941,36,,1336.74
X,2941,44,,0
X,2981,44,,0
X,2984,43,,0
X,2984,44,,0
X,2984,45,,1222
X,2985,31,,1222
X,2987,52,,1222
X,2988,52,,1191.2
X,2989,43,,0
X,2989,44,,0
X,2989,45,,1336.74
X,2990,31,,1336.74
X,2991,31,,1358.22
X,2992,11,,1336.74
X,2994,36,,1197.8
X,3008,45,,1083.6
X,3051,36,,1366.22
X,3052,52,,1200.14
X,3053,43,,0
X,3053,44,,0
X,3053,45,,1224.26
X,3054,31,,1255
X,3056,52,,1046.78
X,3057,43,,0
X,3057,44,,0
X,3057,45,,1024.48
X,3058,44,,0
X,3058,45,,1046.78
X,3059,36,,1094.06
X,3060,31,,1086.16
X,3062,56,,0
X,3063,52,,1041.64
X,3064,31,,1103.14
X,3065,45,,1093
X,3066,31,,1193.46
X,3118,31,,1137.52
X,3120,44,,0
X,3120,45,,1166.38
X,3121,31,,1108.76
X,3122,3,,0
X,3122,44,,0
X,3122,45,,1068
X,3123,36,,1258.66
X,3124,31,,1221.98
X,3125,11,,1221.98
X,3126,3,,1246.66
X,3127,36,,0
X,3127,44,,0
X,3127,45,,1191.16
X,3128,36,,1205.72
X,3129,31,,1188.86
X,3130,31,,805.66
X,3131,11,,1179.9
X,3132,3,,1165.16
X,3133,36,,1238.2
X,3133,44,,0
X,3134,31,,1080.36
X,3136,36,,1259.64
X,3190,36,,1329.1
X,3191,36,,1329.1
X,3192,44,,0
X,3192,45,,1188.6
X,3192,52,,0
X,3193,36,,1239.62
X,3194,31,,1219.12
X,3195,3,,1184.7
X,3195,53,,0
X,3196,45,,698.12
X,3197,36,,698.12
X,3198,36,,1200.18
X,3199,31,,1236.14
X,3200,31,,1281.32
X,3201,52,,1200.18
X,3202,44,,0
X,3202,45,,1262.74
X,3202,50,,0
X,3203,36,,1200.18
X,3204,52,,1091.04
X,3205,36,,1091.04
X,3206,52,,1046.78
X,3207,31,,1125.56
X,3208,36,,1135.08
X,3256,45,,1281.34
X,3257,44,,0
X,3257,45,,1184.7
X,3259,44,,0
X,3259,45,,1226.08
X,3259,52,,0
X,3260,36,,1083.5
X,3261,45,,1046.78
X,3262,36,,1104.06
X,3263,36,,1076.08
X,3264,56,,0
X,3265,52,,1178.12
X,3266,36,,1178.12
X,3267,36,,1148.12
X,3268,36,,1148.12
X,3269,31,,1160.74
X,3270,11,,1137.48
X,3271,52,,1108.76
X,3272,44,,0
X,3272,45,,784.54
