VARIABLE,INDEX, DEPOT, VALUE,LON,LAT
X,2284,31,1253.5,-98.2198,28.7077
X,2287,31,1049.26,-98.7898,28.6977
X,2348,31,1056.98,-98.7098,28.6877
X,2349,52,1056.98,-98.6998,28.6877
X,2350,52,1056.98,-98.6898,28.6877
X,2351,44,1087.04,-98.6798,28.6877
X,2352,31,1105.46,-98.6698,28.6877
X,2425,44,1168.04,-98.4598,28.6777
X,2426,36,1217.66,-98.4498,28.6777
X,2488,44,1277.14,-98.3398,28.6677
X,2491,44,1225.84,-98.2998,28.6677
X,2493,44,1180.62,-98.2798,28.6677
X,2494,31,1064.92,-98.2698,28.6677
X,2496,52,1040.5,-98.7898,28.6577
X,2497,36,1040.5,-98.7798,28.6577
X,2498,31,1040.5,-98.7698,28.6577
X,2499,31,1171.56,-98.7398,28.6577
X,2502,52,1087,-98.7098,28.6577
X,2503,36,1107.22,-98.6998,28.6577
X,2504,36,1087,-98.6898,28.6577
X,2505,31,284.22,-98.6698,28.6577
X,2558,36,1311.16,-98.1501,29.3974
X,2559,31,930.32,-98.1401,29.3974
X,2560,31,1310.16,-98.1301,29.3974
X,2561,36,1293.18,-98.1701,29.3874
X,2562,52,1260.4,-98.1601,29.3874
X,2563,31,1293.18,-98.1501,29.3874
X,2565,52,1292.32,-98.1801,29.3774
X,2566,36,1298.74,-98.1601,29.3774
X,2567,31,1293.16,-98.1501,29.3774
X,2570,52,1291.14,-98.0801,29.3774
X,2571,44,1298.44,-98.0701,29.3774
X,2572,36,1297.36,-98.0601,29.3774
X,2573,36,1317.08,-98.0501,29.3774
X,2628,44,1296.8,-98.2201,29.3374
X,2629,52,1305.1,-98.2001,29.3374
X,2630,52,1291.04,-98.1901,29.3374
X,2631,31,1260.16,-98.1801,29.3374
X,2632,52,1260.16,-98.1701,29.3374
X,2633,31,1260.54,-98.1601,29.3374
X,2635,52,1297.98,-98.0901,29.3374
X,2636,36,1311.52,-98.0701,29.3374
X,2637,31,1421.52,-98.0101,29.3374
X,2640,52,1458.28,-97.9301,29.3374
X,2642,36,1327.02,-97.8801,29.3374
X,2697,36,1442.64,-98.1801,29.3074
X,2698,36,1407.18,-98.1701,29.3074
X,2699,44,1407.18,-98.1501,29.3074
X,2700,44,1407.18,-98.1301,29.3074
X,2701,36,1407.18,-98.1101,29.3074
X,2702,44,1407.18,-98.0901,29.3074
X,2703,31,1298.06,-98.0801,29.3074
X,2704,52,1296.34,-98.0701,29.3074
X,2705,44,1299.24,-98.0601,29.3074
X,2706,31,1421.5,-98.0501,29.3074
X,2707,31,1421.5,-98.0401,29.3074
X,2708,52,1421.5,-98.0301,29.3074
X,2709,52,1421.5,-98.0201,29.3074
X,2710,44,1421.5,-98.0101,29.3074
X,2711,36,1457.08,-97.9801,29.3074
