VARIABLE, PARCEL, DEPOT, VALUE,LON,LAT
X,1352,52,1186.02,-98.3098,28.8577
X,1353,52,1186.02,-98.2998,28.8577
X,1354,52,1201.68,-98.2898,28.8577
X,1355,3,1186.02,-98.2798,28.8577
X,1356,3,1240.84,-98.2698,28.8577
X,1357,31,1297.72,-98.2598,28.8577
X,1358,36,1332.28,-98.2498,28.8577
X,1359,31,1243.72,-98.2398,28.8577
X,1360,36,1263.88,-98.2298,28.8577
X,1361,36,1243.06,-98.2198,28.8577
X,1362,45,1243.72,-98.2098,28.8577
X,1363,36,1233.34,-98.1898,28.8577
X,1364,31,1233.34,-98.1798,28.8577
X,1365,31,811.9,-98.1698,28.8577
X,1412,36,1185.92,-98.2898,28.8477
X,1417,3,1263.92,-98.2398,28.8477
X,1419,45,1263.92,-98.2198,28.8477
X,1420,45,1252.24,-98.2098,28.8477
X,1422,52,1243.72,-98.1898,28.8477
X,1423,52,811.88,-98.1798,28.8477
X,1425,3,851.64,-98.1598,28.8477
X,1572,36,1090.78,-98.5498,28.8177
X,1573,31,1129.06,-98.5398,28.8177
X,1577,3,1235.18,-98.4998,28.8177
X,1637,3,1129.06,-98.5298,28.8077
X,1639,31,1090.86,-98.5098,28.8077
X,1640,31,1164.94,-98.4998,28.8077
X,1641,36,1235.16,-98.4898,28.8077
X,1642,36,1165.72,-98.4798,28.8077
X,1643,31,1179.04,-98.4698,28.8077
X,1644,31,1136.8,-98.4598,28.8077
X,1646,11,1186.46,-98.4398,28.8077
X,1649,36,1176.82,-98.4098,28.8077
X,1676,31,1263.86,-98.1298,28.8077
X,1703,45,1090.74,-98.5298,28.7977
X,1704,52,1118.32,-98.5198,28.7977
X,1706,3,1172.7,-98.4898,28.7977
X,1707,3,1235.18,-98.4798,28.7977
X,1708,11,1136.7,-98.4698,28.7977
X,1711,31,1176.8,-98.4398,28.7977
X,1712,31,1203.84,-98.4298,28.7977
X,1715,11,1135.34,-98.3998,28.7977
X,1717,3,1128.56,-98.3798,28.7977
X,1719,36,1229.08,-98.3498,28.7977
X,1771,36,1090.72,-98.5298,28.7877
X,1777,3,1148.4,-98.4498,28.7877
X,1781,31,1151.64,-98.4098,28.7877
X,1782,31,1235.18,-98.3998,28.7877
X,1784,11,1140.98,-98.3798,28.7877
X,1786,3,1229.08,-98.3598,28.7877
X,1787,52,1229.08,-98.3498,28.7877
X,1841,36,1135.34,-98.4698,28.7777
X,1842,36,1165.7,-98.4598,28.7777
X,1843,36,1165.7,-98.4498,28.7777
X,1844,45,1165.7,-98.4398,28.7777
X,1847,3,1235.12,-98.3998,28.7777
X,1848,11,1182.66,-98.3898,28.7777
X,1850,31,1229.06,-98.3698,28.7777
X,1851,31,835.94,-98.3598,28.7777
X,1852,31,1247.24,-98.3498,28.7777
X,1853,31,1186.8,-98.3398,28.7777
X,1854,11,835.94,-98.3298,28.7777
X,1855,11,1206.64,-98.3198,28.7777
X,1856,3,1249.32,-98.3098,28.7777
X,1857,52,1248.16,-98.2998,28.7777
X,1858,36,1224.12,-98.2898,28.7777
X,1908,31,1235.12,-98.4698,28.7677
X,1910,31,1121.12,-98.4498,28.7677
X,1911,36,1176.76,-98.4398,28.7677
X,1912,36,1121.12,-98.4298,28.7677
X,1913,45,1165.66,-98.4198,28.7677
X,1914,45,1171.16,-98.4098,28.7677
X,1917,3,1194.38,-98.3698,28.7677
X,1918,11,1215,-98.3598,28.7677
X,1921,31,1238.36,-98.3298,28.7677
X,1923,11,1229.04,-98.3098,28.7677
X,1924,11,1224.14,-98.2998,28.7677
X,1925,3,1240.7,-98.2798,28.7677
X,1926,3,1234.04,-98.2698,28.7677
X,1927,45,1297.54,-98.2598,28.7677
X,1928,45,1263.82,-98.2498,28.7677
X,1989,31,1240.7,-98.2898,28.7577
X,1990,31,1185.84,-98.2798,28.7577
X,1991,31,1297.56,-98.2698,28.7577
X,1993,3,1263.6,-98.2498,28.7577
X,1997,45,1332.26,-98.2098,28.7577
X,1998,36,1243.6,-98.1998,28.7577
X,2049,36,1163.98,-98.3398,28.7477
X,2050,36,1180.86,-98.3298,28.7477
X,2051,31,1277.28,-98.3198,28.7477
X,2052,31,1221.46,-98.2998,28.7477
X,2053,36,1188.2,-98.2898,28.7477
X,2054,45,1274.68,-98.2798,28.7477
X,2060,31,1312.82,-98.2198,28.7477
X,2063,11,1253.58,-98.1898,28.7477
X,2064,3,1274.98,-98.1798,28.7477
X,2065,52,1274.98,-98.1698,28.7477
X,2066,45,1369.72,-98.1598,28.7477
X,2150,36,1130.6,-98.4898,28.7277
X,2208,45,1130.44,-98.4398,28.7177
X,2209,31,1217.74,-98.4298,28.7177
X,2210,31,1130.44,-98.4198,28.7177
X,2211,31,1130.44,-98.4098,28.7177
X,2212,36,1130.44,-98.3998,28.7177
X,2214,36,1152.76,-98.3798,28.7177
X,2215,31,1210.68,-98.3698,28.7177
X,2217,45,1174.7,-98.3498,28.7177
X,2218,36,1228.06,-98.3298,28.7177
X,2219,36,1228.06,-98.3198,28.7177
X,2278,36,1064.94,-98.2798,28.7077
X,2279,3,806.32,-98.2698,28.7077
X,2280,52,1162.84,-98.2598,28.7077
X,2281,52,1282.36,-98.2498,28.7077
X,2282,31,1369.72,-98.2398,28.7077
X,2283,45,1138.86,-98.2298,28.7077
X,2284,31,1253.5,-98.2198,28.7077
X,2285,11,1274.86,-98.2098,28.7077
X,2286,45,1049.26,-98.7998,28.6977
X,2287,31,1049.26,-98.7898,28.6977
X,2288,36,1065.66,-98.7798,28.6977
X,2348,31,1056.98,-98.7098,28.6877
X,2349,52,1056.98,-98.6998,28.6877
X,2350,52,1056.98,-98.6898,28.6877
X,2351,45,1087.04,-98.6798,28.6877
X,2352,31,1105.46,-98.6698,28.6877
X,2425,45,1168.04,-98.4598,28.6777
X,2426,36,1217.66,-98.4498,28.6777
X,2427,31,1132.54,-98.4398,28.6777
X,2488,45,1277.14,-98.3398,28.6677
X,2491,45,1225.84,-98.2998,28.6677
X,2493,3,1180.62,-98.2798,28.6677
X,2494,31,1064.92,-98.2698,28.6677
