VARIABLE, PARCEL, DEPOT, PLANT, VALUE
X,2911,45,,1442.62
X,2912,31,,1442.62
X,2913,52,,1359.88
X,2914,36,,1359.88
X,2915,36,,1213
X,2916,11,,1213
X,2917,52,,1213
X,2918,45,,1208
X,2919,36,,1346.82
X,2935,45,,1348.92
X,2936,52,,1266.46
X,2937,36,,1348.92
X,2938,52,,1348.92
X,2939,36,,1415.04
X,2984,45,,1348.9
X,2985,31,,1348.9
X,2987,52,,1348.9
X,2988,52,,1321.34
X,2989,45,,1439.6
X,2990,31,,1439.6
X,2991,31,,1460.8
X,2992,11,,1439.6
X,2994,36,,1279.94
X,3051,36,,1433.32
X,3052,52,,1291.34
X,3053,45,,1270.04
X,3054,31,,1294.5
X,3056,52,,1212.96
X,3057,45,,1191.38
X,3058,45,,1212.96
X,3059,36,,1263.02
X,3060,31,,1242.36
X,3063,52,,1205.58
X,3064,31,,1269.22
X,3065,45,,1260.22
X,3066,31,,1332.26
X,3118,31,,1279.9
X,3120,45,,1302.6
X,3121,31,,1278.18
X,3122,45,,1225.24
X,3123,36,,1376.38
X,3124,31,,1348.9
X,3125,11,,1348.9
X,3126,3,,1376.58
X,3127,45,,1321.24
X,3128,36,,1302.74
X,3129,31,,1289.72
X,3130,31,,940.16
X,3131,11,,1309.92
X,3132,3,,1301.8
X,3133,36,,1369.28
X,3134,31,,1234.56
X,3136,36,,1364.88
X,3190,36,,1421.28
X,3191,36,,1421.28
X,3192,45,,1266.9
X,3193,36,,1303.96
X,3194,31,,1347.2
X,3195,3,,1260
X,3196,45,,819.02
X,3197,36,,819.02
X,3198,36,,1291.32
X,3199,31,,1282.64
X,3200,31,,1297.42
X,3201,52,,1291.32
X,3202,45,,1368.34
X,3203,36,,1291.32
X,3204,52,,1231.24
X,3205,36,,1231.24
X,3206,52,,1212.96
X,3207,31,,1257.14
X,3208,36,,1267.9
X,3257,45,,1259.96
X,3259,45,,1266.74
X,3260,36,,1229.54
X,3261,45,,1212.88
X,3262,36,,1244.36
X,3263,36,,1222.84
X,3265,52,,1314.94
X,3266,36,,1314.94
X,3267,36,,1290.64
X,3268,36,,1290.64
X,3269,31,,1287.68
X,3270,11,,1279.82
X,3271,52,,1278.16
X,3272,45,,931.4
X,3273,36,,931.4
X,3274,52,,1269.18
X,3275,31,,1269.18
X,3276,52,,1269.18
X,3277,31,,1325.58
X,3278,31,,1325.58
X,3328,36,,1269.18
X,3329,45,,1282.6
X,3330,31,,1269.92
X,3331,45,,1269.18
X,3332,36,,1325.58
X,3333,31,,1269.18
X,3335,45,,1183
X,3336,36,,1207.92
