VARIABLE, PARCEL, DEPOT, PLANT, VALUE,
X,3127,52,,1162.5200,
X,3128,44,,1195.4400,
X,3129,36,,1176.8800,
X,3130,31,,774.8200,
X,3132,52,,1153.9600,
X,3133,44,,1242.1400,
X,3134,31,,1096.3000,
X,3136,31,,1334.6600,
X,3137,36,,1390.2800,
X,3187,36,,1390.2600,
X,3189,52,,1396.3800,
X,3190,31,,1396.3800,
X,3192,44,,1239.1400,
X,3193,36,,1282.6800,
X,3194,36,,1308.5800,
X,3195,52,,1221.9000,
X,3197,44,,702.8200,
X,3198,36,,1245.9600,
X,3199,31,,1253.6600,
X,3200,31,,1292.5800,
X,3201,52,,1245.9600,
X,3202,52,,1336.9400,
X,3203,36,,1245.9600,
X,3204,52,,1097.5800,
X,3205,31,,1097.5800,
X,3206,44,,1081.1400,
X,3256,36,,1292.5600,
X,3257,31,,1221.8800,
X,3259,44,,1238.1600,
X,3260,31,,1106.4400,
X,3262,36,,1125.2200,
X,3263,31,,1096.5800,
X,3265,52,,1177.8000,
X,3266,52,,1177.8000,
X,3267,44,,1149.7400,
X,3268,36,,1149.7400,
X,3269,31,,1182.9000,
X,3271,52,,1072.4600,
X,3273,31,,745.7600,
X,3274,44,,1110.7800,
X,3275,31,,1110.7800,
X,3276,44,,1110.7800,
X,3329,36,,1127.4800,
X,3330,31,,1113.2400,
X,3331,44,,1110.7800,
X,3332,36,,1134.5800,
X,3333,31,,1110.7800,
X,3335,52,,1001.1400,
X,3336,44,,1023.5400,
X,3337,44,,1105.4400,
X,3338,36,,1061.7600,
X,3339,31,,1096.2800,
X,3341,52,,1184.3800,
X,3342,44,,1178.3200,
X,3344,44,,1178.3200,
X,3346,36,,1135.4400,
X,3398,44,,1135.4400,
X,3399,36,,1096.2800,
X,3400,44,,1096.2800,
X,3401,36,,1126.3200,
X,3402,31,,1105.9200,
X,3403,52,,257.9800,
X,3404,52,,1263.5800,
X,3405,44,,1308.5400,
X,3406,36,,1257.3400,
X,3407,36,,1267.0000,
X,3408,31,,1329.4600,
X,3410,52,,1329.4600,
X,3411,44,,1329.4600,
X,3412,36,,1249.2800,
X,3413,52,,1282.6600,
X,3414,36,,1232.1000,
X,3423,36,,1186.7000,
X,3424,44,,1186.7000,
X,3426,44,,1113.1800,
X,3427,31,,1113.1800,
X,3428,52,,1167.9400,
X,3429,36,,1182.8600,
X,3432,44,,1167.9400,
X,3433,36,,1167.9400,
X,3475,44,,1177.7800,
X,3477,36,,1243.2200,
X,3478,31,,1166.1800,
X,3480,52,,1186.6800,
X,3481,44,,1243.2200,
X,3482,31,,1234.1400,
X,3484,31,,1023.5200,
X,3485,44,,1023.5200,
X,3493,31,,1061.7400,
X,3494,31,,1132.6400,
X,3498,44,,1084.9400,
X,3499,31,,1119.2800,
X,3502,36,,1091.3600,
X,3506,36,,1332.2000,
X,3546,31,,1184.3200,
X,3547,31,,1147.9600,
X,3549,52,,1096.2800,
X,3550,44,,1084.9400,
X,3551,36,,1127.5200,
X,3552,31,,1135.4600,
X,3553,36,,1135.4600,
X,3554,31,,1091.3600,
X,3555,36,,1135.4600,
X,3556,36,,1135.4600,
X,3557,36,,1289.4200,
X,3558,52,,1329.4200,
X,3559,44,,1332.1800,
X,3568,31,,1262.8000,
X,3570,52,,1239.5600,
X,3611,36,,1219.8800,
X,3613,52,,1271.7800,
X,3614,44,,1219.8800,
X,3615,36,,1247.4200,
X,3616,31,,1282.9600,
X,3617,31,,1248.5400,
X,3619,52,,1248.5400,
X,3620,52,,1212.7000,
X,3621,36,,1295.7400,
X,3622,52,,1260.0000,
X,3623,36,,1260.0000,
X,3624,52,,1141.8200,
X,3625,31,,1082.6400,
X,3626,36,,1065.9800,
X,3627,31,,1083.5000,
X,3628,36,,1149.9400,
X,3629,36,,1038.6800,
X,3686,36,,1149.1600,
X,3687,31,,1124.3200,
X,3689,44,,1124.3200,
X,3690,44,,1058.8600,
X,3691,36,,1105.0000,
X,3692,52,,1105.0000,
X,3693,36,,1103.3600,
X,3694,52,,1105.0000,
X,3695,31,,1124.3200,
X,3696,52,,1075.4800,
X,3697,52,,1197.5600,
X,3698,31,,1248.5200,
X,3750,36,,1199.5000,
X,3753,44,,1086.6200,
X,3754,36,,1083.4800,
X,3755,31,,1083.4800,
X,3756,31,,1140.8000,
X,3759,52,,1069.1400,
X,3760,44,,1083.3400,
X,3761,31,,704.7200,
X,3762,52,,1125.3600,
X,3763,31,,1047.2000,
X,3764,44,,1069.4000,
X,3765,44,,1066.9800,
X,3766,44,,1056.8400,
X,3776,31,,1100.3400,
X,3777,52,,1088.0800,
X,3778,36,,1085.4800,
X,3780,52,,1124.7400,
X,3781,52,,1104.9600,
X,3782,36,,1275.5800,
X,3784,52,,1259.6000,
X,3785,44,,1237.4200,
X,3786,36,,1271.7000,
X,3787,31,,1271.7000,
X,3831,36,,1209.1400,
X,3832,44,,1016.5000,
X,3833,36,,1194.3000,
X,3834,44,,1016.5000,
X,3835,44,,1089.5600,
X,3837,31,,1030.9800,
X,3838,36,,1105.4000,
X,3839,31,,1084.2600,
X,3854,44,,1149.0800,
X,3855,31,,1103.2200,
X,3860,52,,1124.6800,
X,3863,36,,1340.0400,
X,3897,36,,1291.3000,
X,3901,31,,1105.6400,
X,3902,52,,1125.8600,
X,3903,31,,1136.8600,
X,3904,44,,1083.4400,
X,3905,44,,1083.4400,
X,3906,36,,1002.6600,
X,3907,44,,1106.1800,
X,3908,44,,1062.7200,
X,3970,36,,1105.3400,
X,3972,36,,1083.4000,
X,3973,52,,1043.2800,
X,3974,31,,1047.1200,
X,3975,31,,1047.1200,
X,3976,31,,1079.3800,
X,3977,44,,1011.2200,
X,3978,36,,1043.2800,
X,4038,44,,1151.1600,
X,4039,36,,1155.5600,
X,4040,31,,1200.4200,
X,4041,52,,1200.4200,
X,4042,31,,1188.3600,
X,4043,52,,1232.1000,
X,4044,36,,1301.4200,
X,4045,31,,1136.0200,
X,4046,52,,1177.1400,
X,4047,36,,1161.7400,
X,4048,36,,1129.5400,
X,4061,52,,1292.0600,
X,4062,36,,1155.5400,
X,4064,52,,1214.5200,
X,4065,44,,1105.5400,
X,4066,44,,1156.8200,
X,4067,36,,1177.1400,
X,4068,31,,1161.7200,
X,4116,44,,1116.6800,
X,4117,31,,1144.8800,
X,4118,44,,1144.8800,
Y,,31,1,218233.4600,
Y,,36,1,235399.6400,
Y,,44,1,183468.1400,
Y,,52,1,184575.1600,
Z,2648,,1,1425.7200,
Z,2666,,1,1240.9400,
Z,2667,,1,1406.6800,
Z,2668,,1,1425.6800,
Z,2669,,1,1425.6800,
Z,2670,,1,1425.6800,
Z,2693,,1,1406.6800,
Z,2694,,1,1406.6800,
Z,2695,,1,1425.6800,
Z,2696,,1,1425.6800,
Z,2723,,1,1240.9200,
Z,2724,,1,1406.6800,
Z,2725,,1,1425.6800,
Z,2726,,1,1425.6800,
Z,2727,,1,1425.6800,
Z,2728,,1,1425.6800,
Z,2753,,1,1324.0800,
Z,2754,,1,1425.6400,
Z,2786,,1,1324.0800,
Z,2789,,1,1425.6400,
Z,2790,,1,1425.6400,
Z,2822,,1,1406.6800,
Z,2823,,1,1406.6800,
Z,2824,,1,1406.6800,
Z,2825,,1,1406.6800,
Z,2826,,1,1425.6400,
Z,2827,,1,1425.6400,
Z,2828,,1,1425.6400,
Z,2829,,1,1425.6400,
Z,2830,,1,1425.6400,
Z,2864,,1,1324.0800,
Z,2865,,1,1324.0800,
Z,2866,,1,1406.6800,
Z,2867,,1,1406.6800,
Z,2868,,1,1425.6200,
Z,2869,,1,1425.6200,
Z,2870,,1,1425.6200,
Z,2904,,1,1247.1000,
Z,2905,,1,1247.1000,
Z,2906,,1,1406.6800,
Z,2944,,1,1239.1400,
Z,2945,,1,1365.8600,
Z,2946,,1,1332.3400,
Z,2947,,1,1308.6400,
Z,2948,,1,1308.6400,
Z,2949,,1,1396.4400,
Z,2950,,1,1396.4400,
Z,2951,,1,1420.1000,
Z,2952,,1,1420.1000,
Z,2953,,1,1420.1000,
Z,2954,,1,1420.1000,
Z,2993,,1,1241.9000,
Z,2995,,1,1296.1800,
Z,2997,,1,1308.6400,
Z,2998,,1,1278.8200,
Z,2999,,1,1396.4400,
Z,3000,,1,1420.0800,
Z,3001,,1,1420.0800,
Z,3002,,1,1420.0800,
Z,3038,,1,1269.0000,
Z,3039,,1,1232.1800,
Z,3040,,1,1269.0000,
Z,3041,,1,1278.8200,
Z,3042,,1,1396.4200,
Z,3043,,1,1396.4200,
Z,3044,,1,1396.4200,
Z,3045,,1,1396.4200,
Z,3046,,1,1396.4200,
Z,3047,,1,1420.0600,
Z,3048,,1,1420.0600,
Z,3087,,1,1230.8000,
Z,3088,,1,1155.4600,
Z,3089,,1,1155.4600,
Z,3090,,1,1296.2000,
Z,3091,,1,1396.4400,
Z,3092,,1,1396.4400,
Z,3093,,1,1396.4400,
Z,3131,,1,1164.3600,
Z,3135,,1,1369.9000,
Z,3138,,1,1269.0000,
Z,3139,,1,1269.0000,
Z,3140,,1,1396.3800,
Z,3141,,1,1396.3800,
Z,3142,,1,1396.3800,
Z,3178,,1,1164.3600,
Z,3181,,1,1178.3600,
Z,3182,,1,1178.3600,
Z,3183,,1,1178.3600,
Z,3184,,1,1103.8200,
Z,3185,,1,1273.1200,
Z,3186,,1,1273.1200,
Z,3188,,1,1390.2600,
Z,3228,,1,1242.1200,
Z,3237,,1,1138.2600,
Z,3240,,1,1301.6400,
Z,3241,,1,1268.9600,
Z,3242,,1,1232.2200,
Z,3243,,1,1396.4000,
Z,3244,,1,1396.4000,
Z,3295,,1,1390.2000,
Z,3296,,1,1268.9800,
elapsed time,11.75998,
