index,parcels,plants,distance
1106,1337,1,66.0452
1107,1338,1,66.5713
1108,1339,1,63.1147
1109,1340,1,62.3548
1110,1341,1,62.7221
1111,1342,1,61.9265
1112,1343,1,61.0903
1113,1344,1,60.7724
1114,1346,1,61.246
1115,1347,1,58.2223
1116,1348,1,63.1155
1117,1349,1,61.3792
1118,1350,1,60.1264
1119,1351,1,59.9858
1120,1352,1,59.8204
1121,1353,1,57.9147
1122,1354,1,58.1222
1123,1355,1,56.3665
1124,1356,1,56.7898
1125,1357,1,55.664
1126,1358,1,57.2806
1127,1359,1,58.4188
1128,1360,1,59.06
1129,1361,1,60.9495
1130,1362,1,62.556
1131,1363,1,65.1142
1132,1364,1,72.7486
1133,1365,1,72.3582
1134,1366,1,71.113
1135,1367,1,71.2838
1136,1368,1,72.0844
1137,1369,1,72.8642
1138,1371,1,75.7683
1139,1372,1,77.5377
1140,1373,1,78.2821
1141,1374,1,81.1987
1142,1375,1,81.1987
1143,1376,1,81.1987
1144,1377,1,79.9719
1145,1378,1,88.5912
1146,1379,1,84.5744
1147,1380,1,84.2733
1148,1381,1,84.0109
1149,1383,1,81.0375
1150,1384,1,80.0754
1151,1386,1,78.6982
1152,1388,1,78.173
1153,1389,1,72.8834
1154,1390,1,72.8524
1155,1391,1,71.4116
1156,1392,1,70.2803
1157,1394,1,69.2553
1158,1396,1,72.897
1159,1397,1,68.3978
1160,1398,1,67.5608
1161,1399,1,65.2812
1162,1400,1,64.1722
1163,1401,1,63.6131
1164,1402,1,65.9772
1165,1403,1,63.1765
1166,1404,1,61.8849
1167,1405,1,62.8464
1168,1406,1,62.1786
1169,1407,1,59.246
1170,1408,1,62.4605
1171,1409,1,61.9201
1172,1410,1,61.1138
1173,1411,1,60.9097
1174,1413,1,60.1748
1175,1414,1,59.9689
1176,1415,1,58.898
1177,1416,1,57.9016
1178,1417,1,58.259
1179,1419,1,58.6568
1180,1420,1,59.7262
1181,1421,1,63.2309
1182,1422,1,62.9083
1183,1423,1,73.3669
1184,1424,1,73.3669
1185,1425,1,71.5586
1186,1426,1,70.6618
1187,1427,1,70.6403
1188,1428,1,71.4293
1189,1429,1,73.0291
1190,1430,1,73.9073
1191,1431,1,76.6192
1192,1432,1,77.2436
1193,1433,1,77.9423
1194,1434,1,81.1987
1195,1435,1,81.1987
1196,1437,1,79.9719
1197,1438,1,79.9719
1198,1439,1,87.7547
1199,1440,1,88.4931
1200,1441,1,84.2706
1201,1442,1,82.8866
1202,1444,1,80.9951
1203,1445,1,79.2956
1204,1447,1,77.8231
1205,1448,1,77.356
1206,1449,1,76.8105
1207,1450,1,73.3697
1208,1451,1,72.7809
1209,1452,1,71.9439
1210,1453,1,72.5728
1211,1454,1,74.1688
1212,1455,1,70.2125
1213,1456,1,71.1678
1214,1457,1,69.9063
1215,1458,1,67.5015
1216,1459,1,66.9445
1217,1460,1,66.8151
1218,1462,1,64.7265
1219,1463,1,64.7317
1220,1464,1,65.1564
1221,1465,1,62.9976
1222,1466,1,63.512
