VARIABLE, PARCEL, DEPOT, PLANT, VALUE,,,,
X,3201,11,,1029.12,,,,
X,3202,52,,1002.12,,,,
X,3203,36,,1034.88,,,,
X,3204,11,,1034.88,,,,
X,3205,31,,1002.12,,,,
X,3206,52,,1045.78,,,,
X,3258,36,,1034.88,,,,
X,3259,52,,1017.08,,,,
X,3260,31,,1002.1,,,,
X,3261,11,,1034.4,,,,
X,3262,36,,1012.76,,,,
X,3263,36,,1180.8,,,,
X,3264,11,,1102.66,,,,
X,3265,52,,1102.66,,,,
X,3265,58,,0,,,,
X,3266,36,,0,,,,
X,3266,52,,1080.82,,,,
X,3267,36,,1080.82,,,,
X,3268,36,,1145.58,,,,
X,3269,31,,1080.82,,,,
X,3270,11,,1087.28,,,,
X,3271,52,,822.64,,,,
X,3273,31,,1149.92,,,,
X,3274,36,,1149.92,,,,
X,3275,31,,1149.92,,,,
X,3276,36,,1157.02,,,,
X,3277,36,,1157.02,,,,
X,3326,52,,1080.82,,,,
X,3327,52,,1149.9,,,,
X,3328,31,,1168.36,,,,
X,3329,36,,1167.46,,,,
X,3330,31,,1149.9,,,,
X,3331,52,,1157,,,,
X,3332,31,,1149.9,,,,
X,3333,31,,1002.1,,,,
X,3334,11,,962.04,,,,
X,3335,52,,1002.1,,,,
X,3336,52,,1098.58,,,,
X,3337,36,,1034.34,,,,
X,3338,31,,1002.1,,,,
X,3339,31,,1002.1,,,,
X,3340,11,,1096.66,,,,
X,3341,52,,1098.58,,,,
X,3341,58,,0,,,,
X,3342,36,,1098.58,,,,
X,3344,36,,1096.66,,,,
X,3346,36,,1030.5,,,,
X,3399,36,,1002.1,,,,
X,3400,52,,1031.28,,,,
X,3401,36,,1030.5,,,,
X,3402,31,,1017.06,,,,
X,3403,11,,1008.4,,,,
X,3404,52,,1029.08,,,,
X,3405,36,,998.84,,,,
X,3406,36,,1034.34,,,,
X,3407,31,,974.14,,,,
X,3408,31,,1021.36,,,,
X,3409,11,,974.14,,,,
X,3410,52,,974.14,,,,
X,3412,36,,1045.8,,,,
X,3413,11,,1002.1,,,,
X,3414,36,,1002.1,,,,
X,3423,36,,1168.36,,,,
X,3424,11,,1094.14,,,,
X,3426,36,,1094.14,,,,
X,3427,31,,1167.44,,,,
