VARIABLE	 PARCEL	coord_ID	 DEPOT	 VALUE	LAT 	LON
X	1015	1236	31	1082.94	28.9177	-98.4598
X	1016	1237	31	1082.94	28.9177	-98.4498
X	1055	1280	36	966.2	28.9077	-98.5998
X	1056	1281	36	985.18	28.9077	-98.5898
X	1057	1282	52	1056.24	28.9077	-98.5798
X	1058	1284	44	1030.32	28.9077	-98.5598
X	1059	1286	31	1082.94	28.9077	-98.5398
X	1060	1287	52	1056.24	28.9077	-98.5298
X	1061	1288	44	1001.04	28.9077	-98.5198
X	1062	1289	36	1056.24	28.9077	-98.5098
X	1063	1290	31	1082.94	28.9077	-98.4998
X	1064	1291	7	1001.04	28.9077	-98.4898
X	1065	1292	7	1082.94	28.9077	-98.4798
X	1066	1293	52	1077.74	28.9077	-98.4698
X	1067	1295	44	1077.74	28.9077	-98.4498
X	1068	1296	44	1001.04	28.9077	-98.4398
X	1069	1297	36	1056.24	28.9077	-98.4298
X	1070	1298	36	1056.24	28.9077	-98.4198
X	1071	1299	36	1057.14	28.9077	-98.4098
X	1072	1300	36	1082.94	28.9077	-98.3998
X	1073	1301	44	1057.14	28.9077	-98.3898
X	1074	1302	36	1054.88	28.9077	-98.3798
X	1075	1303	44	1076.14	28.9077	-98.3698
X	1076	1304	52	1087.96	28.9077	-98.3598
X	1077	1305	52	1102.26	28.9077	-98.3498
X	1078	1306	7	1097.04	28.9077	-98.3398
X	1079	1307	7	1034.74	28.9077	-98.3298
X	1081	1309	31	1034.74	28.9077	-98.2998
X	1083	1312	31	1044.66	28.9077	-98.2698
X	1125	1357	31	1082.94	28.8977	-98.4098
X	1128	1360	36	1082.94	28.8977	-98.3798
X	1129	1361	36	1083.16	28.8977	-98.3698
X	1130	1362	7	1076.14	28.8977	-98.3598
X	1131	1363	36	1078.76	28.8977	-98.3498
X	1132	1364	36	1106.94	28.8977	-98.3398
X	1133	1365	31	1016.96	28.8977	-98.3298
X	1134	1366	58	1017.26	28.8977	-98.3198
X	1135	1367	52	1034.74	28.8977	-98.3098
X	1136	1368	58	954.26	28.8977	-98.2998
X	1137	1369	52	1044.64	28.8977	-98.2898
X	1138	1371	44	1044.64	28.8977	-98.2698
X	1139	1372	36	1017.62	28.8977	-98.2598
X	1140	1373	36	984.22	28.8977	-98.2498
X	1141	1374	36	1037.38	28.8977	-98.2398
X	1142	1375	36	1074.12	28.8977	-98.2298
X	1143	1376	36	953.22	28.8977	-98.2198
X	1144	1377	36	967.4	28.8977	-98.2098
X	1183	1423	36	1078.78	28.8877	-98.3498
X	1184	1424	31	1078.78	28.8877	-98.3398
X	1185	1425	44	1055.76	28.8877	-98.3298
X	1186	1426	36	1025.9	28.8877	-98.3198
X	1187	1427	7	1026.4	28.8877	-98.3098
X	1197	1438	44	942.98	28.8877	-98.1998
X	1217	1460	58	985.16	28.8777	-98.5898
X	1219	1463	7	952.38	28.8777	-98.5598
X	1220	1464	7	1050.74	28.8777	-98.5498
X	1225	1470	7	1126.8	28.8777	-98.4798
X	1226	1471	7	1056.2	28.8777	-98.4698
X	1230	1476	36	1075.3	28.8777	-98.4198
X	1275	1527	52	998.38	28.8677	-98.5298
X	1276	1528	44	1056.18	28.8677	-98.5198
X	1277	1529	44	1056.18	28.8677	-98.5098
X	1278	1531	36	1075.28	28.8677	-98.4898
X	1279	1532	36	1056.18	28.8677	-98.4798
X	1280	1533	36	1068.46	28.8677	-98.4698
X	1281	1534	36	1001.06	28.8677	-98.4598
X	1282	1535	36	1082.9	28.8677	-98.4498
X	1283	1536	44	1082.9	28.8677	-98.4398
X	1284	1537	44	1054.9	28.8677	-98.4298
X	1285	1538	52	1082.9	28.8677	-98.4198
X	1286	1539	58	1001.06	28.8677	-98.4098
X	1287	1540	7	1082.9	28.8677	-98.3998
X	1288	1541	7	991.32	28.8677	-98.3898
X	1289	1542	7	1007.7	28.8677	-98.3698
X	1292	1545	31	1116.26	28.8677	-98.3398
X	1293	1546	31	1030.68	28.8677	-98.3298
X	1296	1549	7	1009.04	28.8677	-98.2998
X	1297	1550	58	1009.04	28.8677	-98.2898
X	1298	1551	52	1007.3	28.8677	-98.2798
X	1299	1552	44	1026.38	28.8677	-98.2698
X	1340	1597	36	1068.42	28.8577	-98.4498
X	1343	1601	52	1082.9	28.8577	-98.4098
X	1344	1602	44	1082.9	28.8577	-98.3998
X	1345	1603	44	1050.4	28.8577	-98.3898
X	1346	1604	36	991.38	28.8577	-98.3798
X	1347	1606	36	1078.76	28.8577	-98.3598
X	1348	1607	31	1078.76	28.8577	-98.3498
X	1349	1608	31	1078.76	28.8577	-98.3398
X	1350	1609	36	1076.14	28.8577	-98.3298
X	1351	1610	31	936.54	28.8577	-98.3198
X	1352	1611	36	945.6	28.8577	-98.3098
X	1353	1612	36	945.6	28.8577	-98.2998
X	1354	1613	36	1007.3	28.8577	-98.2898
X	1355	1614	52	945.6	28.8577	-98.2798
X	1356	1615	58	1029.44	28.8577	-98.2698
X	1357	1616	58	1064.86	28.8577	-98.2598
X	1358	1617	7	1099.32	28.8577	-98.2498
X	1359	1618	7	967.36	28.8577	-98.2398
X	1360	1619	7	974.24	28.8577	-98.2298
X	1361	1620	31	942.98	28.8577	-98.2198
X	1362	1621	36	967.36	28.8577	-98.2098
X	1363	1623	31	971.9	28.8577	-98.1898
X	1364	1624	7	971.9	28.8577	-98.1798
X	1365	1625	7	759.26	28.8577	-98.1698
X	1414	1679	52	1008.62	28.8477	-98.2698
X	1415	1680	44	945.6	28.8477	-98.2598
X	1416	1681	44	974.24	28.8477	-98.2498
X	1417	1682	36	974.24	28.8477	-98.2398
X	1418	1683	31	865.42	28.8477	-98.2298
X	1419	1684	36	974.24	28.8477	-98.2198
X	1420	1685	31	974.2	28.8477	-98.2098
X	1421	1686	31	747.28	28.8477	-98.1998
X	1422	1687	36	967.32	28.8477	-98.1898
X	1423	1688	36	759.12	28.8477	-98.1798
X	1424	1689	36	759.12	28.8477	-98.1698
X	1425	1690	44	747.28	28.8477	-98.1598
X	1486	1754	36	967.32	28.8377	-98.1598
X	1487	1755	31	759.16	28.8377	-98.1498
X	1572	1848	7	952.34	28.8177	-98.5498
X	1573	1849	7	1026.06	28.8177	-98.5398
X	1574	1850	52	1050.72	28.8177	-98.5298
X	1575	1851	44	952.34	28.8177	-98.5198
X	1577	1853	36	1050.72	28.8177	-98.4998
X	1636	1917	52	985.06	28.8077	-98.5398
X	1637	1918	58	1026.06	28.8077	-98.5298
X	1638	1919	52	1026.96	28.8077	-98.5198
X	1639	1920	58	952.3	28.8077	-98.5098
X	1640	1921	7	1020.68	28.8077	-98.4998
X	1642	1923	7	1026.96	28.8077	-98.4798
X	1643	1924	7	1026.06	28.8077	-98.4698
X	1644	1925	58	937.94	28.8077	-98.4598
X	1645	1926	52	937.94	28.8077	-98.4498
X	1646	1927	44	1055.76	28.8077	-98.4398
X	1647	1928	44	991.34	28.8077	-98.4298
X	1648	1929	31	991.34	28.8077	-98.4198
X	1649	1930	31	1057.66	28.8077	-98.4098
X	1704	1988	31	1026.94	28.7977	-98.5198
X	1705	1989	36	985.04	28.7977	-98.5098
X	1706	1991	44	976.72	28.7977	-98.4898
X	1707	1992	52	1050.72	28.7977	-98.4798
X	1708	1993	58	937.94	28.7977	-98.4698
X	1709	1994	58	937.92	28.7977	-98.4598
X	1710	1995	58	967.06	28.7977	-98.4498
X	1711	1996	7	1004.12	28.7977	-98.4398
X	1712	1997	7	1040.5	28.7977	-98.4298
X	1713	1998	52	1106.9	28.7977	-98.4198
X	1714	1999	44	1007.72	28.7977	-98.4098
X	1715	2000	44	1007.72	28.7977	-98.3998
X	1716	2001	36	1006.98	28.7977	-98.3898
X	1717	2002	31	1054.82	28.7977	-98.3798
X	1775	2063	31	1026.02	28.7877	-98.4698
X	1776	2064	36	1026.02	28.7877	-98.4598
X	1777	2065	44	937.9	28.7877	-98.4498
X	1778	2066	52	967.16	28.7877	-98.4398
X	1779	2067	58	1050.72	28.7877	-98.4298
X	1780	2068	58	1008.74	28.7877	-98.4198
X	1781	2069	58	1068.32	28.7877	-98.4098
X	1782	2070	52	1106.9	28.7877	-98.3998
X	1783	2071	44	1054.82	28.7877	-98.3898
X	1784	2072	44	1046.68	28.7877	-98.3798
X	1785	2073	36	1075.18	28.7877	-98.3698
X	1786	2074	31	1078.72	28.7877	-98.3598
X	1787	2075	31	1078.72	28.7877	-98.3498
X	1841	2133	7	966.98	28.7777	-98.4698
X	1844	2136	31	1026.94	28.7777	-98.4398
X	1845	2137	31	1026.94	28.7777	-98.4298
X	1846	2139	36	985.14	28.7777	-98.4098
X	1847	2140	44	1106.86	28.7777	-98.3998
X	1848	2141	44	1078.72	28.7777	-98.3898
X	1849	2142	52	1078.72	28.7777	-98.3798
X	1850	2143	58	1078.72	28.7777	-98.3698
X	1851	2144	52	783.84	28.7777	-98.3598
X	1852	2145	44	1077.66	28.7777	-98.3498
X	1853	2146	44	1054.8	28.7777	-98.3398
X	1854	2147	44	783.84	28.7777	-98.3298
X	1855	2148	36	1068.32	28.7777	-98.3198
X	1856	2149	31	1047.08	28.7777	-98.3098
X	1857	2150	31	1035.22	28.7777	-98.2998
X	1911	2205	7	1004.16	28.7677	-98.4398
X	1912	2206	7	985.04	28.7677	-98.4298
X	1915	2210	31	1050.68	28.7677	-98.3898
X	1916	2211	36	1078.72	28.7677	-98.3798
X	1917	2212	44	983.36	28.7677	-98.3698
X	1918	2213	44	991.2	28.7677	-98.3598
X	1919	2214	52	909.38	28.7677	-98.3498
X	1920	2215	52	783.72	28.7677	-98.3398
X	1921	2216	52	1057.62	28.7677	-98.3298
X	1922	2217	44	1078.72	28.7677	-98.3198
X	1923	2218	44	1078.72	28.7677	-98.3098
X	1924	2219	36	1014.8	28.7677	-98.2998
X	1925	2221	31	1029.42	28.7677	-98.2798
X	1926	2222	44	1009	28.7677	-98.2698
X	1927	2223	31	1064.82	28.7677	-98.2598
X	1984	2282	36	983.34	28.7577	-98.3498
X	1985	2283	36	983.34	28.7577	-98.3398
X	1986	2284	44	991.26	28.7577	-98.3298
X	1987	2285	52	1072.38	28.7577	-98.3198
X	1988	2286	36	1076.14	28.7577	-98.3098
X	1989	2288	36	1029.42	28.7577	-98.2898
X	1991	2290	7	1064.8	28.7577	-98.2698
X	1992	2291	52	843.88	28.7577	-98.2598
X	1993	2292	44	1023.56	28.7577	-98.2498
X	1994	2293	36	967.2	28.7577	-98.2398
X	1995	2294	36	759.04	28.7577	-98.2298
X	1996	2295	31	1099.28	28.7577	-98.2198
X	1997	2296	31	1099.28	28.7577	-98.2098
X	1998	2297	7	967.2	28.7577	-98.1998
X	2055	2357	31	1029.42	28.7477	-98.2698
X	2056	2358	36	945.54	28.7477	-98.2598
X	2057	2359	44	747.22	28.7477	-98.2498
X	2058	2360	44	759.04	28.7477	-98.2398
X	2059	2361	52	759.04	28.7477	-98.2298
X	2060	2362	52	1041.28	28.7477	-98.2198
X	2061	2363	44	974.18	28.7477	-98.2098
X	2062	2364	36	967.2	28.7477	-98.1998
X	2063	2365	36	942.88	28.7477	-98.1898
X	2064	2366	31	974.18	28.7477	-98.1798
X	2065	2367	31	974.18	28.7477	-98.1698
X	2150	2464	36	967.14	28.7277	-98.4898
X	2151	2465	36	1050.68	28.7277	-98.4798
X	2153	2467	36	1038.38	28.7277	-98.4598
X	2207	2530	58	1050.64	28.7177	-98.4498
X	2208	2531	44	967.18	28.7177	-98.4398
X	2209	2532	36	1050.64	28.7177	-98.4298
X	2210	2533	36	967.18	28.7177	-98.4198
X	2211	2534	31	967.18	28.7177	-98.4098
X	2212	2535	7	967.18	28.7177	-98.3998
X	2213	2536	31	967.18	28.7177	-98.3898
X	2214	2537	7	1026.84	28.7177	-98.3798
X	2215	2538	36	1026.84	28.7177	-98.3698
