VARIABLE, PARCEL, DEPOT, PLANT, VALUE
X,3554,58,,1034.32
X,3555,36,,1034.32
X,3556,36,,954.7
X,3557,36,,974.1
X,3558,52,,1057.46
X,3559,44,,974.1
X,3568,31,,1029.08
X,3570,52,,997.88
X,3571,36,,1149.88
X,3574,36,,1149.88
X,3575,31,,1149.88
X,3610,36,,1017
X,3611,36,,1034.32
X,3613,52,,1017
X,3614,36,,974.08
X,3615,36,,1135.98
X,3616,31,,1041.24
X,3617,31,,965.2
X,3618,31,,1041.24
X,3619,7,,1012.72
X,3620,44,,1091.1
X,3621,36,,1149.88
X,3622,52,,1149.88
X,3623,36,,1102.58
X,3624,52,,1066.62
X,3625,31,,1020.2
X,3626,36,,974.06
X,3627,31,,1098.54
X,3628,36,,962.06
X,3629,36,,1098.54
X,3683,36,,954.64
X,3684,31,,1029.5
X,3685,36,,1034.34
X,3686,31,,1029.5
X,3687,31,,1034.34
X,3688,7,,1021.3
X,3689,44,,1034.34
X,3690,36,,966.32
X,3691,31,,1017.04
X,3692,58,,1017.04
X,3693,36,,974.02
X,3694,58,,1017.04
X,3695,31,,1034.34
X,3696,52,,969.48
X,3697,52,,965.16
X,3698,31,,1041.3
X,3748,31,,1098.52
X,3750,36,,1002.04
X,3752,7,,1052.2
X,3753,44,,1034.76
X,3754,36,,974.02
X,3755,31,,974.02
X,3756,31,,1052.2
X,3757,31,,1009.06
X,3758,58,,1009.06
X,3759,52,,1030.42
X,3760,44,,1031.22
X,3761,31,,728.26
X,3762,52,,1029.48
X,3763,31,,1017.04
X,3764,44,,1045.6
X,3765,44,,1057.4
X,3766,44,,1008.34
X,3775,44,,1029.04
X,3776,31,,1029.04
X,3777,52,,1032.02
X,3778,36,,1002.04
X,3780,7,,1021.22
X,3781,52,,1017.04
X,3782,36,,1098.52
X,3784,7,,1029.02
X,3785,44,,1034.32
X,3786,36,,1021.22
X,3787,31,,1021.22
X,3790,7,,1021.22
X,3791,7,,954.64
X,3792,52,,1041.62
X,3831,36,,969.46
X,3832,44,,1009.06
X,3833,36,,1100.96
X,3834,44,,1009.06
X,3835,44,,1010.54
X,3837,31,,966.3
X,3838,36,,1021.2
X,3839,7,,1017.02
X,3854,44,,1029.48
X,3855,31,,974.02
X,3859,7,,1010.52
X,3860,52,,1021.18
X,3863,36,,1100.94
X,3895,44,,1100.94
X,3896,36,,1078.38
X,3897,36,,1029.48
X,3900,36,,1043.32
X,3901,31,,1036.36
X,3902,44,,1056.32
X,3903,31,,1043.32
X,3904,36,,974.02
X,3905,36,,974.02
X,3906,36,,966.26
X,3907,44,,1045.56
X,3908,36,,1021.14
X,3924,31,,969.44
X,3932,44,,1021.14
X,3933,44,,1021.14
X,3969,44,,1017
X,3970,36,,1021.12
X,3971,52,,1017
X,3972,36,,974.02
X,3973,52,,974.02
X,3974,31,,1017
X,3975,36,,1017
X,3976,31,,1029.48
X,3977,44,,969.38
X,3978,36,,974.02
X,4004,36,,1056.3
X,4032,36,,1044.82
X,4034,36,,1016.96
X,4035,31,,1010.52
X,4038,44,,1016.96
X,4039,36,,974.38
X,4040,31,,1029.78
X,4041,52,,1029.78
X,4042,31,,1036.3
X,4043,52,,1055.08
X,4044,36,,1128.28
X,4045,31,,980.8
X,4046,52,,1034.28
X,4047,36,,1010.52
X,4048,36,,1001.7
X,4058,36,,865.5
X,4061,52,,1128.26
X,4062,36,,974.36
X,4064,7,,1096.46
X,4065,44,,954.56
X,4066,44,,1016.96
X,4067,36,,1034.28
X,4068,31,,1010.52
X,4071,7,,850.5
X,4072,7,,943.5
X,4073,7,,1013.4
X,4116,44,,964.46
X,4117,31,,964.46
X,4118,31,,964.46
Y,,7,1,102671.08
Y,,31,1,218010.86
Y,,36,1,291710.7
Y,,44,1,179854.96
Y,,52,1,127832.02
Y,,58,1,64776.98
Z,115,,1,1129.92
Z,116,,1,1129.92
Z,130,,1,1088.12
Z,131,,1,1086.4
Z,132,,1,1088.12
Z,156,,1,1086.4
Z,157,,1,1086.4
Z,158,,1,1076.32
Z,185,,1,1076.32
Z,186,,1,1086.4
Z,187,,1,1086.4
Z,188,,1,1086.4
Z,189,,1,1063.68
