index,parcels,yield,county
342,488,10.864,ATASCOSA
343,490,1.3298,ATASCOSA
344,491,1.4288,ATASCOSA
345,492,1.5108,ATASCOSA
346,493,1.397,ATASCOSA
347,494,1.7354,ATASCOSA
348,495,1.4872,ATASCOSA
349,496,1.5108,ATASCOSA
350,497,1.5108,ATASCOSA
351,498,1.4956,ATASCOSA
352,499,10.6404,ATASCOSA
353,500,10.864,ATASCOSA
354,502,10.6368,ATASCOSA
355,503,10.6506,ATASCOSA
356,504,10.6368,ATASCOSA
357,505,10.864,ATASCOSA
358,506,10.6368,ATASCOSA
359,507,10.881,ATASCOSA
360,508,10.864,ATASCOSA
361,509,10.864,ATASCOSA
362,510,10.864,ATASCOSA
363,511,10.763,ATASCOSA
364,512,10.6368,ATASCOSA
365,513,10.9106,ATASCOSA
366,514,10.864,ATASCOSA
367,515,10.864,ATASCOSA
368,516,10.6506,ATASCOSA
369,517,10.763,ATASCOSA
370,518,10.763,ATASCOSA
371,519,10.8526,ATASCOSA
372,520,10.6368,ATASCOSA
373,521,9.1558,ATASCOSA
374,522,10.6368,ATASCOSA
375,523,10.0836,ATASCOSA
376,524,10.0836,ATASCOSA
377,525,10.881,ATASCOSA
378,526,10.864,ATASCOSA
379,528,11.2988,ATASCOSA
380,529,10.864,ATASCOSA
381,530,10.6368,ATASCOSA
382,531,10.6368,ATASCOSA
383,532,10.6368,ATASCOSA
384,533,10.9106,ATASCOSA
385,534,10.3432,ATASCOSA
386,535,1.3298,ATASCOSA
387,536,1.4032,ATASCOSA
388,537,1.4032,ATASCOSA
389,538,1.4872,ATASCOSA
390,539,1.5274,ATASCOSA
391,540,1.7354,ATASCOSA
392,542,1.4872,ATASCOSA
393,543,1.4872,ATASCOSA
394,544,10.9308,ATASCOSA
395,545,10.9066,ATASCOSA
396,546,10.3936,ATASCOSA
397,547,10.5576,ATASCOSA
398,548,10.8524,ATASCOSA
399,549,10.7628,ATASCOSA
400,550,10.6368,ATASCOSA
401,552,10.8642,ATASCOSA
402,553,10.881,ATASCOSA
403,554,10.3986,ATASCOSA
404,555,10.8642,ATASCOSA
405,556,10.6368,ATASCOSA
406,557,10.6368,ATASCOSA
407,558,10.6502,ATASCOSA
408,559,10.7628,ATASCOSA
409,560,10.0836,ATASCOSA
410,561,10.0836,ATASCOSA
411,562,10.0836,ATASCOSA
412,563,10.0836,ATASCOSA
413,564,10.8524,ATASCOSA
414,565,10.881,ATASCOSA
415,566,10.6368,ATASCOSA
416,567,10.0836,ATASCOSA
417,568,10.1398,ATASCOSA
418,569,11.2988,ATASCOSA
419,570,10.881,ATASCOSA
420,571,11.2988,ATASCOSA
421,572,10.881,ATASCOSA
422,573,10.6368,ATASCOSA
423,574,10.6368,ATASCOSA
424,575,10.8642,ATASCOSA
425,576,10.9092,ATASCOSA
426,579,10.4558,ATASCOSA
427,580,10.1956,ATASCOSA
428,581,1.3298,ATASCOSA
429,582,1.4612,ATASCOSA
430,583,1.4612,ATASCOSA
431,584,1.5128,ATASCOSA
432,585,1.4288,ATASCOSA
433,587,1.5274,ATASCOSA
434,588,1.416,ATASCOSA
435,589,1.5274,ATASCOSA
436,590,1.5184,ATASCOSA
437,592,10.6638,ATASCOSA
438,593,10.7628,ATASCOSA
439,594,10.8636,ATASCOSA
440,595,10.5588,ATASCOSA
441,596,10.8524,ATASCOSA
442,597,10.7358,ATASCOSA
443,598,10.881,ATASCOSA
444,599,10.637,ATASCOSA
445,600,10.637,ATASCOSA
446,601,10.8636,ATASCOSA
447,602,10.8636,ATASCOSA
448,603,10.7628,ATASCOSA
449,606,10.084,ATASCOSA
450,607,10.6336,ATASCOSA
451,608,10.084,ATASCOSA
452,609,10.7628,ATASCOSA
453,610,10.881,ATASCOSA
454,611,10.637,ATASCOSA
455,612,10.881,ATASCOSA
456,613,10.637,ATASCOSA
457,614,11.2988,ATASCOSA
458,616,10.8636,ATASCOSA
459,617,10.8636,ATASCOSA
460,618,10.6504,ATASCOSA
461,619,10.637,ATASCOSA
462,620,10.7628,ATASCOSA
463,621,11.0238,ATASCOSA
464,622,11.3048,ATASCOSA
465,623,10.3984,ATASCOSA
466,624,10.0918,ATASCOSA
467,625,10.1956,ATASCOSA
468,626,10.1956,ATASCOSA
469,627,1.5124,ATASCOSA
470,628,1.5124,ATASCOSA
471,629,1.2486,ATASCOSA
472,630,1.5124,ATASCOSA
473,631,1.2486,ATASCOSA
474,632,1.2486,ATASCOSA
475,633,1.5998,ATASCOSA
476,634,1.416,ATASCOSA
477,635,1.5998,ATASCOSA
478,636,1.5272,ATASCOSA
479,637,1.5184,ATASCOSA
480,638,11.2988,ATASCOSA
481,640,10.65,ATASCOSA
482,641,10.65,ATASCOSA
483,642,10.637,ATASCOSA
484,643,10.8808,ATASCOSA
485,644,10.8808,ATASCOSA
486,645,10.8808,ATASCOSA
487,646,10.8808,ATASCOSA
488,647,10.9092,ATASCOSA
489,648,10.7626,ATASCOSA
490,649,10.9092,ATASCOSA
491,650,10.7358,ATASCOSA
492,651,10.7626,ATASCOSA
493,652,10.8524,ATASCOSA
494,654,10.8524,ATASCOSA
495,655,10.8636,ATASCOSA
496,656,10.637,ATASCOSA
497,657,10.637,ATASCOSA
498,658,10.8808,ATASCOSA
499,659,10.9092,ATASCOSA
500,660,10.8808,ATASCOSA
501,661,10.8636,ATASCOSA
502,662,10.8808,ATASCOSA
503,664,10.637,ATASCOSA
504,665,11.3526,ATASCOSA
505,666,10.7358,ATASCOSA
506,667,10.91,ATASCOSA
507,668,11.0236,ATASCOSA
508,669,10.8636,ATASCOSA
509,670,10.8524,ATASCOSA
510,671,10.3028,ATASCOSA
511,672,9.5982,ATASCOSA
512,673,9.5982,ATASCOSA
513,674,9.5982,ATASCOSA
514,675,1.5124,ATASCOSA
515,676,1.5124,ATASCOSA
516,677,1.461,ATASCOSA
517,678,1.5124,ATASCOSA
518,679,1.4334,ATASCOSA
519,680,1.4334,ATASCOSA
520,681,1.4334,ATASCOSA
521,682,1.5108,ATASCOSA
522,683,1.416,ATASCOSA
523,684,1.5184,ATASCOSA
524,685,1.4872,ATASCOSA
525,686,10.7084,ATASCOSA
526,687,10.6368,ATASCOSA
527,688,10.881,ATASCOSA
528,689,10.881,ATASCOSA
529,690,10.8636,ATASCOSA
530,691,10.881,ATASCOSA
531,692,10.881,ATASCOSA
532,693,10.8524,ATASCOSA
533,694,10.665,ATASCOSA
534,696,10.881,ATASCOSA
535,697,10.9092,ATASCOSA
536,699,10.8636,ATASCOSA
537,700,10.7626,ATASCOSA
538,701,11.3048,ATASCOSA
539,702,10.7626,ATASCOSA
540,703,10.6368,ATASCOSA
541,704,10.6368,ATASCOSA
542,705,10.8636,ATASCOSA
543,706,10.083,ATASCOSA
544,709,10.8636,ATASCOSA
545,710,10.6368,ATASCOSA
546,711,10.6368,ATASCOSA
547,712,10.6502,ATASCOSA
548,713,11.3526,ATASCOSA
549,714,10.6502,ATASCOSA
550,715,10.8524,ATASCOSA
551,717,10.6368,ATASCOSA
552,718,10.8524,ATASCOSA
553,719,10.9098,ATASCOSA
554,720,9.598,ATASCOSA
555,721,9.598,ATASCOSA
556,722,9.598,ATASCOSA
557,723,9.598,ATASCOSA
558,725,1.2486,ATASCOSA
559,726,1.4608,ATASCOSA
560,727,1.5124,ATASCOSA
561,728,1.4608,ATASCOSA
562,729,1.5124,ATASCOSA
563,730,1.2486,ATASCOSA
564,731,1.5124,ATASCOSA
565,732,1.5634,ATASCOSA
566,733,1.494,ATASCOSA
567,734,1.5482,ATASCOSA
568,735,1.4976,ATASCOSA
569,736,10.5492,ATASCOSA
570,737,10.6852,ATASCOSA
571,738,10.8524,ATASCOSA
572,739,10.8524,ATASCOSA
573,740,10.3644,ATASCOSA
574,741,10.6362,ATASCOSA
575,742,10.8524,ATASCOSA
576,743,10.8804,ATASCOSA
577,744,10.8804,ATASCOSA
578,745,10.6362,ATASCOSA
579,747,10.6636,ATASCOSA
580,748,10.8632,ATASCOSA
581,749,10.9092,ATASCOSA
582,750,10.7626,ATASCOSA
583,751,10.8524,ATASCOSA
584,752,10.8804,ATASCOSA
585,753,11.2984,ATASCOSA
586,754,10.8804,ATASCOSA
587,755,11.2984,ATASCOSA
588,756,10.6502,ATASCOSA
589,757,8.186,ATASCOSA
590,758,10.9092,ATASCOSA
591,759,10.8804,ATASCOSA
592,760,10.6502,ATASCOSA
593,761,10.6502,ATASCOSA
594,762,10.0828,ATASCOSA
595,763,10.3982,ATASCOSA
596,764,10.3982,ATASCOSA
597,765,10.3982,ATASCOSA
598,766,10.7358,ATASCOSA
599,767,10.6362,ATASCOSA
600,768,10.4778,ATASCOSA
601,769,9.598,ATASCOSA
602,770,9.598,ATASCOSA
603,771,10.0918,ATASCOSA
604,772,9.598,ATASCOSA
605,773,9.598,ATASCOSA
606,774,1.4608,ATASCOSA
607,775,1.5124,ATASCOSA
608,776,1.5634,ATASCOSA
609,777,1.2486,ATASCOSA
610,778,1.5124,ATASCOSA
611,779,1.5124,ATASCOSA
612,780,1.5634,ATASCOSA
613,781,1.5512,ATASCOSA
614,782,1.5028,ATASCOSA
615,783,1.4522,ATASCOSA
616,784,1.3284,ATASCOSA
617,785,1.5874,ATASCOSA
618,786,1.7222,ATASCOSA
619,787,10.778,ATASCOSA
620,788,10.685,ATASCOSA
621,789,10.5632,ATASCOSA
622,790,10.5724,ATASCOSA
623,791,10.3912,ATASCOSA
624,792,10.636,ATASCOSA
625,793,10.863,ATASCOSA
626,794,10.88,ATASCOSA
627,795,10.88,ATASCOSA
628,796,10.88,ATASCOSA
629,798,10.88,ATASCOSA
630,799,10.909,ATASCOSA
631,800,10.909,ATASCOSA
632,801,10.863,ATASCOSA
633,802,10.909,ATASCOSA
634,803,10.88,ATASCOSA
635,804,10.863,ATASCOSA
636,805,10.88,ATASCOSA
637,807,10.636,ATASCOSA
638,808,10.88,ATASCOSA
639,809,10.3912,ATASCOSA
640,810,10.4778,ATASCOSA
641,811,10.3982,ATASCOSA
642,812,10.3982,ATASCOSA
643,814,10.5578,ATASCOSA
644,815,10.0828,ATASCOSA
645,817,10.0828,ATASCOSA
646,818,10.909,ATASCOSA
647,819,9.598,ATASCOSA
648,820,9.598,ATASCOSA
649,821,9.598,ATASCOSA
650,823,10.742,ATASCOSA
651,824,9.598,ATASCOSA
652,825,1.4652,ATASCOSA
653,826,1.4652,ATASCOSA
654,827,1.3298,ATASCOSA
655,828,1.5124,ATASCOSA
656,829,1.4182,ATASCOSA
657,830,1.409,ATASCOSA
658,831,1.3144,ATASCOSA
659,832,1.4242,ATASCOSA
660,833,1.393,ATASCOSA
661,835,1.4242,ATASCOSA
662,836,1.516,ATASCOSA
663,837,1.5878,ATASCOSA
664,838,10.83,ATASCOSA
665,839,10.83,ATASCOSA
666,840,10.549,ATASCOSA
667,841,10.563,ATASCOSA
668,842,10.5724,ATASCOSA
669,844,10.549,ATASCOSA
670,845,10.88,ATASCOSA
671,846,10.88,ATASCOSA
672,847,10.88,ATASCOSA
673,848,10.88,ATASCOSA
674,849,10.8628,ATASCOSA
675,850,10.8628,ATASCOSA
676,851,10.88,ATASCOSA
677,852,10.88,ATASCOSA
678,853,10.88,ATASCOSA
679,854,10.88,ATASCOSA
680,855,10.88,ATASCOSA
681,856,10.636,ATASCOSA
682,857,10.88,ATASCOSA
683,858,10.8628,ATASCOSA
684,859,9.8976,ATASCOSA
685,860,10.8628,ATASCOSA
686,861,10.8628,ATASCOSA
687,862,10.0828,ATASCOSA
688,863,10.0828,ATASCOSA
689,864,10.0828,ATASCOSA
690,865,10.5576,ATASCOSA
691,866,10.0828,ATASCOSA
692,867,9.1548,ATASCOSA
693,868,10.0828,ATASCOSA
694,869,10.8628,ATASCOSA
695,870,10.448,ATASCOSA
696,871,10.343,ATASCOSA
697,872,9.598,ATASCOSA
698,873,9.598,ATASCOSA
699,874,9.598,ATASCOSA
700,875,10.0352,ATASCOSA
701,876,9.598,ATASCOSA
702,877,1.2486,ATASCOSA
703,878,1.4608,ATASCOSA
704,879,1.3188,ATASCOSA
705,880,1.4516,ATASCOSA
706,881,1.5512,ATASCOSA
707,882,1.5026,ATASCOSA
708,883,1.4522,ATASCOSA
709,884,1.4522,ATASCOSA
710,885,1.5026,ATASCOSA
711,886,1.4516,ATASCOSA
712,887,0.896,ATASCOSA
713,889,1.4748,ATASCOSA
714,890,1.7224,ATASCOSA
715,891,10.5722,ATASCOSA
716,892,10.83,ATASCOSA
717,893,10.5722,ATASCOSA
718,894,10.563,ATASCOSA
719,895,10.4688,ATASCOSA
720,896,10.563,ATASCOSA
721,897,10.5488,ATASCOSA
722,898,10.5488,ATASCOSA
723,899,10.7536,ATASCOSA
724,901,11.3522,ATASCOSA
725,902,10.863,ATASCOSA
726,903,10.88,ATASCOSA
727,904,10.88,ATASCOSA
728,905,10.88,ATASCOSA
729,907,10.88,ATASCOSA
730,909,10.88,ATASCOSA
731,910,10.88,ATASCOSA
732,911,10.863,ATASCOSA
733,912,10.909,ATASCOSA
734,913,10.0826,ATASCOSA
735,914,11.1504,ATASCOSA
736,915,10.0826,ATASCOSA
737,916,10.9098,ATASCOSA
738,917,10.0826,ATASCOSA
739,918,10.0826,ATASCOSA
740,919,10.0826,ATASCOSA
741,920,10.0826,ATASCOSA
742,921,9.6462,ATASCOSA
743,922,10.4482,ATASCOSA
744,923,10.3428,ATASCOSA
745,924,10.3428,ATASCOSA
746,925,10.3428,ATASCOSA
747,926,10.3428,ATASCOSA
748,927,10.3428,ATASCOSA
749,928,1.5024,ATASCOSA
750,929,1.5024,ATASCOSA
751,930,1.5024,ATASCOSA
752,931,1.5978,ATASCOSA
753,932,1.4516,ATASCOSA
754,934,1.24,ATASCOSA
755,935,1.4242,ATASCOSA
756,936,1.5024,ATASCOSA
757,938,1.24,ATASCOSA
758,940,1.4242,ATASCOSA
759,941,1.4242,ATASCOSA
760,942,1.4028,ATASCOSA
761,943,10.7532,ATASCOSA
762,944,10.6852,ATASCOSA
763,945,10.5488,ATASCOSA
764,946,10.5628,ATASCOSA
765,947,10.7532,ATASCOSA
766,948,10.572,ATASCOSA
767,949,10.7532,ATASCOSA
768,950,10.8298,ATASCOSA
769,951,10.5628,ATASCOSA
770,952,11.2686,ATASCOSA
771,953,10.5488,ATASCOSA
772,954,10.7624,ATASCOSA
773,955,10.8632,ATASCOSA
774,956,10.8798,ATASCOSA
775,957,10.8632,ATASCOSA
776,961,10.8798,ATASCOSA
777,962,11.2506,ATASCOSA
778,963,10.9088,ATASCOSA
779,965,10.636,ATASCOSA
780,967,10.7358,ATASCOSA
781,968,10.0828,ATASCOSA
782,969,10.1576,ATASCOSA
783,970,10.398,ATASCOSA
784,971,10.398,ATASCOSA
785,972,10.0828,ATASCOSA
786,973,10.9088,ATASCOSA
787,974,10.4482,ATASCOSA
788,975,10.1696,ATASCOSA
789,976,10.3428,ATASCOSA
790,977,9.9158,ATASCOSA
791,978,10.1696,ATASCOSA
792,979,10.1696,ATASCOSA
793,980,10.3476,ATASCOSA
794,981,1.4242,ATASCOSA
795,984,1.3146,ATASCOSA
796,985,1.3146,ATASCOSA
797,988,1.4516,ATASCOSA
798,989,1.4516,ATASCOSA
799,990,1.628,ATASCOSA
800,991,1.4242,ATASCOSA
801,992,1.393,ATASCOSA
802,993,1.393,ATASCOSA
803,994,1.4092,ATASCOSA
804,997,10.8296,ATASCOSA
805,999,10.5628,ATASCOSA
806,1000,10.8296,ATASCOSA
807,1001,10.6852,ATASCOSA
808,1004,11.2684,ATASCOSA
809,1005,11.2684,ATASCOSA
810,1006,10.071,ATASCOSA
811,1007,10.7534,ATASCOSA
812,1008,10.5628,ATASCOSA
813,1009,10.7534,ATASCOSA
814,1010,10.8628,ATASCOSA
815,1012,10.8628,ATASCOSA
816,1013,11.2506,ATASCOSA
817,1014,10.6364,ATASCOSA
818,1015,10.88,ATASCOSA
819,1016,10.6364,ATASCOSA
820,1017,10.8628,ATASCOSA
821,1018,10.88,ATASCOSA
822,1019,10.909,ATASCOSA
823,1020,10.5574,ATASCOSA
824,1021,11.1502,ATASCOSA
825,1022,10.8516,ATASCOSA
826,1023,10.3982,ATASCOSA
827,1024,10.9096,ATASCOSA
828,1025,10.7622,ATASCOSA
829,1026,10.9706,ATASCOSA
830,1027,10.1762,ATASCOSA
831,1028,10.7828,ATASCOSA
832,1029,10.3428,ATASCOSA
833,1030,10.3428,ATASCOSA
